concept_id,domain,section,concept_type,name,description,aliases,details_md,details_json,source_file,source_path,version
carteira.carteira_de_fiis_do_investidor,carteira,,concept,Carteira de FIIs do investidor,"Representa o conjunto de posições em fundos imobiliários de um investidor, com quantidades, valores e participantes (corretoras/custodiantes). É uma camada privada, ligada ao CPF/CNPJ do cliente.","[""minha carteira"", ""posições em FIIs"", ""wallet de FIIs""]",,"{""related_entities"": [""client_fiis_positions"", ""fiis_registrations"", ""fiis_financials_snapshot"", ""fiis_financials_risk""], ""typical_questions"": [""quais são minhas posições em FIIs?"", ""quantas cotas tenho de MXRF11?"", ""qual é o valor total da minha carteira de FIIs hoje?""]}",data/concepts/concepts-carteira.yaml,concepts[0],dev-20251030
carteira.concentracao_e_diversificacao,carteira,,concept,Concentração e diversificação,"Mede quanto cada FII representa do valor total da carteira e como os investimentos estão distribuídos entre setores, tipos de fundo e estratégias. Ajuda a evitar concentração excessiva em poucos ativos.","[""concentração por FII"", ""diversificação da carteira""]",,"{""related_entities"": [""client_fiis_positions"", ""fiis_registrations"", ""fiis_financials_snapshot""], ""typical_metrics"": [""peso de cada FII na carteira (%)"", ""top N FIIs por participação"", ""distribuição por setor (logístico, shopping, lajes, CRI etc.)"", ""distribuição por tipo (tijolo, papel, híbrido, FOF)""], ""typical_questions"": [""quais fundos representam mais de 10% da minha carteira?"", ""minha carteira está muito concentrada em um setor?"", ""estou equilibrado entre tijolo e papel?""]}",data/concepts/concepts-carteira.yaml,concepts[1],dev-20251030
carteira.principios_de_privacidade_e_seguranca_de_dados,carteira,,concept,Princípios de privacidade e segurança de dados,"Dados de carteira (cliente, documento, posições, valores) são tratados como informações sensíveis. A SIRIOS utiliza autenticação, controle de escopo e políticas de uso da IA para garantir que consultas sobre carteira só sejam respondidas quando o contexto de usuário autenticado permitir.","[""privacidade da carteira"", ""dados pessoais da carteira""]",,"{""related_entities"": [""client_fiis_positions""], ""typical_questions"": [""a IA consegue ver a carteira de qualquer usuário?"", ""quais dados da minha carteira a SIRIOS utiliza para responder perguntas?""]}",data/concepts/concepts-carteira.yaml,concepts[4],dev-20251030
carteira.projecoes_de_renda_e_objetivos_financeiros,carteira,,concept,Projeções de renda e objetivos financeiros,"A partir das posições atuais e de hipóteses de dividendos, é possível projetar cenários de renda futura e tempo estimado para atingir metas financeiras. Essa camada conecta carteira real, simuladores e objetivos do investidor.","[""simulação de renda com FIIs"", ""liberdade financeira com FIIs""]",,"{""related_entities"": [""client_fiis_positions"", ""fiis_dividends"", ""fiis_financials_snapshot"", ""history_market_indicators""], ""typical_questions"": [""se eu mantiver essa carteira, quanto posso receber de renda mensal?"", ""quanto falta para minha renda com FIIs cobrir meus gastos?"", ""como mudar a carteira para chegar mais rápido na meta?""]}",data/concepts/concepts-carteira.yaml,concepts[3],dev-20251030
carteira.risco_e_retorno_da_carteira,carteira,,concept,Risco e retorno da carteira,"A SIRIOS consolida indicadores de risco e retorno dos FIIs individuais para calcular métricas no nível da carteira: volatilidade, Sharpe, Treynor, drawdown e retorno acumulado. O objetivo é mostrar se, como conjunto, a carteira está eficiente.","[""risco da carteira"", ""performance ajustada ao risco da carteira""]",,"{""related_entities"": [""client_fiis_positions"", ""fiis_financials_risk"", ""fiis_financials_snapshot"", ""history_b3_indexes"", ""history_market_indicators""], ""typical_questions"": [""minha carteira está eficiente em termos de risco-retorno?"", ""como o risco da minha carteira compara com o IFIX?"", ""quais FIIs mais puxam o risco da carteira?""]}",data/concepts/concepts-carteira.yaml,concepts[2],dev-20251030
fiis.carteira.corretora,fiis,carteira,field,corretora,Participante responsável.,[],,,data/concepts/concepts-fiis.yaml,sections.carteira.concepts[5].corretora,dev-20251030
fiis.carteira.data_posicao,fiis,carteira,field,data_posicao,Data da posição.,[],,,data/concepts/concepts-fiis.yaml,sections.carteira.concepts[1].data_posicao,dev-20251030
fiis.carteira.identificador_cliente,fiis,carteira,field,identificador_cliente,CPF/CNPJ do investidor.,[],,,data/concepts/concepts-fiis.yaml,sections.carteira.concepts[0].identificador_cliente,dev-20251030
fiis.carteira.preco_avaliacao,fiis,carteira,field,preco_avaliacao,Preço usado no cálculo da carteira.,[],,,data/concepts/concepts-fiis.yaml,sections.carteira.concepts[3].preco_avaliacao,dev-20251030
fiis.carteira.quantidade,fiis,carteira,field,quantidade,Quantidade em custódia e disponível.,[],,,data/concepts/concepts-fiis.yaml,sections.carteira.concepts[2].quantidade,dev-20251030
