"ticker","fii_cnpj","display_name","b3_name","classification","sector","sub_sector","management_type","target_market","is_exclusive","isin","ipo_date","website_url","admin_name","admin_cnpj","custodian_name","ifil_weight_pct","ifix_weight_pct","shares_count","shareholders_count","created_at","updated_at"
"MCCI11","23.648.935/0001-84","Fundo Investimento Maua Capital Recebiveis Imobiliario FII","FII Maua","Papel","Títulos e Valores Mobiliários","Outros","Ativa","Investidores Em Geral",False,"BRMCCICTF008","2019-08-21 00:00:00","","Btg Pactual Servicos Financeiros S/A Dtvm","59.281.253/0001-23","Banco Btg Pactual S A","1.22","1.08","16960024","0.00","2024-05-22 00:00:00","2025-10-28 00:00:00"
"MAXR11","11.274.415/0001-70","Fundo Investimento Imobiliario FII Max Retail","FII Max Ret","Tijolo","Varejo","Outros","Definida","Investidores Em Geral",False,"BRMAXRCTF009","2010-04-20 00:00:00","","Btg Pactual Servicos Financeiros S/A Dtvm","59.281.253/0001-23","Banco Btg Pactual S A","0","0","1125655","0.00","2024-05-22 00:00:00","2025-10-19 00:00:00"
"MANA11","42.888.583/0001-89","Manat Capital Hedge Fund Fundo Investimento Imobiliario","FII Manati","Hibrido","Híbrido","Outros","Definida","Investidor Profissional",False,"BRMANACTF006","2022-05-26 00:00:00","",".Banco Daycoval S/A","62.232.889/0001-90","Banco Daycoval S.A.","0.27","0.24","37536140","4128975.40","2024-05-22 00:00:00","2025-10-28 00:00:00"
"LVBI11","30.629.603/0001-18","Fundo Investimento Imobiliario Vbi Logstico","FII Vbi Log","Tijolo","Imóveis Industriais e Logísticos","Logística","Ativa","Investidores Em Geral",False,"BRLVBICTF002","2018-11-09 00:00:00","","Btg Pactual Servicos Financeiros S/A Dtvm","59.281.253/0001-23","Banco Btg Pactual S A","1.42","1.26","16118565","12088923.75","2024-05-22 00:00:00","2025-10-28 00:00:00"
"LTMT11","46.449.786/0001-20","Speciale Blue Real Fundo De Investimento Imobiliário De Responsabilidade Limitada","FII Speciale","Tijolo","Multicategoria","Multicategoria","Ativa","Investidor Profissional",False,"BRLTMTCTF000","2023-09-11 00:00:00","",".Banco Daycoval S/A","62.232.889/0001-90","Banco Daycoval S.A.","0","0","124960","0.00","2025-07-02 00:00:00","2025-10-28 00:00:00"
"LRDI11","41.088.534/0001-07","Leblon Realty Desenvolvimento I Fundo De Investimento Imobiliário Responsabilidade Limitada","FII Leblon","Desenvolvimento","Desenvolvimento","Outros","Ativa","Investidores Em Geral",False,"BRLRDICTF006","2022-02-02 00:00:00","","Btg Pactual Servicos Financeiros S/A Dtvm","59.281.253/0001-23","Banco Btg Pactual S A","0","0","370244","0.00","2025-07-02 00:00:00","2025-10-28 00:00:00"
"LPLP11","37.262.752/0001-30","Lago Da Pedra Fundo De Investimento Imobiliário","FII Lago Pdr","Tijolo","Residencial","Residencial","Definida","Investidor Qualificado",False,"BRLPLPCTF008","2021-09-06 00:00:00","","Oliveira Trust Dtvm S.A.","36.113.876/0001-91","Oliveira Trust Dtvm S.A.","0","0","660484","631.45","2025-07-02 00:00:00","2025-10-28 00:00:00"
"LLAO11","41.218.404/0001-33","Bs2 Allinvestments Fundo De Investimento Imobiliário","FII Bs2","Hibrido","Híbrido","Multicategoria","Ativa","Investidor Qualificado",False,"BRLLAOCTF003","2021-08-10 00:00:00","","Brl Trust Dtvm S.A.","13.486.793/0001-42","Singulare Corretora De Titulos E Valores Mobiliarios S.A","0","0","361140","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"LKDV11","40.102.445/0001-05","Fundo de Investimento Imobiliário Development V1","FII Dev One","Tijolo","Outros","Outros","Ativa","Investidor Qualificado",False,"BRLKDVCTF004","2021-03-03 00:00:00","","Btg Pactual Servicos Financeiros S/A Dtvm","59.281.253/0001-23","Banco Btg Pactual S A","0","0","66811","0.00","2024-05-22 00:00:00","2025-10-28 00:00:00"
"LIFE11","39.753.295/0001-02","Life Capital Partners Fundo De Investimento Imobiliario","FII Life","Tijolo","Imóveis Comerciais","Residencial","Ativa","Investidores Em Geral",False,"BRLIFECTF017","2022-03-04 00:00:00","","Vórtx Dtvm Ltda","22.610.500/0001-88","Vortx Distribuidora De Titulos E Valores Mobiliarios Ltda.","0.25","0.22","37901307","4851557.26","2024-06-10 00:00:00","2025-09-21 00:00:00"
"LFTT11","24.796.967/0001-90","Loft II Fundo de Investimento Imobiliário","FII Loft II","Papel","Títulos e Valores Mobiliários","Outros","Ativa","Investidor Qualificado",False,"BRLFTTCTF020","2018-09-27 00:00:00","","Btg Pactual Servicos Financeiros S/A Dtvm","59.281.253/0001-23","Banco Btg Pactual S A","0","0","2000000","0.00","2024-05-22 00:00:00","2025-10-28 00:00:00"
"LASC11","30.248.158/0001-46","Legatus Shoppings Fundo Investimento Imobiliario FII","FII Legatus","Tijolo","Shoppings","Shoppings","Definida","Investidores Em Geral",False,"BRLASCCTF003","2019-08-29 00:00:00","","Btg Pactual Servicos Financeiros S/A Dtvm","59.281.253/0001-23","Banco Btg Pactual S A","0","0","2940298","2920543.56","2024-05-22 00:00:00","2025-09-21 00:00:00"
"KORE11","52.219.978/0001-42","Kinea Oportunidades Real Estate Fundo De Investimento Imobiliario","FII Kore","Tijolo","Lajes Corporativas","Outros","Ativa","Investidores Em Geral",False,"BRKORECTF012","2023-12-01 00:00:00","","Intrag Distribuidora De Títulos E Valores Mobiliários Ltda","62.418.140/0001-31","Itaú Unibanco S.A.","0.55","0.48","9625000","12031250.00","2024-05-22 00:00:00","2025-09-28 00:00:00"
"KNUQ11","42.754.362/0001-18","Kinea Unique Hy Cdi Fundo De Investimento Imobiliario","FII Kinea Un","Papel","Títulos e Valores Mobiliários","Multicategoria","Ativa","Investidores Em Geral",False,"BR0EBICTF008","2022-12-15 00:00:00","","Intrag Distribuidora De Títulos E Valores Mobiliários Ltda","62.418.140/0001-31","Itaú Unibanco S.A.","1.72","1.52","21484730","26855912.50","2024-05-22 00:00:00","2025-10-28 00:00:00"
"KNSC11","35.864.448/0001-38","Kinea Securities Fundo De Investimento Imobiliario FII","FII Kinea Sc","Papel","Títulos e Valores Mobiliários","Multicategoria","Ativa","Investidores Em Geral",False,"BRKNSCCTF008","2020-10-28 00:00:00","","Intrag Distribuidora De Títulos E Valores Mobiliários Ltda","62.418.140/0001-31","Itaú Unibanco S.A.","1.45","1.28","202202385","20220349.60","2024-05-22 00:00:00","2025-10-28 00:00:00"
