"ticker","traded_until_date","payment_date","dividend_amt","created_at","updated_at"
"FVPQ11","1997-02-28 00:00:00","9999-12-31 00:00:00","0.24","2024-05-26 00:00:00","2024-05-26 00:00:00"
"HOSI11","2023-07-18 00:00:00","9999-12-31 00:00:00","21.96","2024-05-27 00:00:00","2024-05-27 00:00:00"
"HRDF11","2019-09-30 00:00:00","9999-12-31 00:00:00","6.80","2024-05-27 00:00:00","2024-05-27 00:00:00"
"HDEL11","2024-12-30 00:00:00","2025-12-30 00:00:00","11.60","2025-01-02 00:00:00","2025-01-02 00:00:00"
"TJKB11","2025-01-17 00:00:00","2025-12-27 00:00:00","3.27","2025-01-20 00:00:00","2025-01-20 00:00:00"
"RBRI11","2025-10-15 00:00:00","2025-11-19 00:00:00","114.56","2025-10-17 00:00:00","2025-10-17 00:00:00"
"LRDI11","2025-10-17 00:00:00","2025-11-13 00:00:00","3.24","2025-10-18 00:00:00","2025-10-18 00:00:00"
"FMOF11","2025-10-17 00:00:00","2025-11-11 00:00:00","32.70","2025-10-20 00:00:00","2025-10-20 00:00:00"
"ELDO11","2025-10-27 00:00:00","2025-11-04 00:00:00","1.60","2025-10-28 00:00:00","2025-10-28 00:00:00"
"BTRA11","2025-10-24 00:00:00","2025-10-31 00:00:00","0.40","2025-10-27 00:00:00","2025-10-27 00:00:00"
"RSPD11","2025-08-29 00:00:00","2025-10-31 00:00:00","67.11","2025-09-02 00:00:00","2025-09-02 00:00:00"
"BTSI11","2025-10-24 00:00:00","2025-10-31 00:00:00","0.81","2025-10-27 00:00:00","2025-10-27 00:00:00"
"GZIT11","2025-10-24 00:00:00","2025-10-30 00:00:00","0.78","2025-10-27 00:00:00","2025-10-27 00:00:00"
"CFII11","2025-10-23 00:00:00","2025-10-30 00:00:00","55.00","2025-10-24 00:00:00","2025-10-24 00:00:00"
"NVHO11","2025-10-23 00:00:00","2025-10-30 00:00:00","0.19","2025-10-25 00:00:00","2025-10-25 00:00:00"
"CNES11","2025-10-23 00:00:00","2025-10-30 00:00:00","0.01","2025-10-24 00:00:00","2025-10-24 00:00:00"
"ROOF11","2025-10-21 00:00:00","2025-10-28 00:00:00","38.71","2025-10-23 00:00:00","2025-10-23 00:00:00"
"BCIA11","2025-09-30 00:00:00","2025-10-28 00:00:00","0.84","2025-10-02 00:00:00","2025-10-02 00:00:00"
"TJKB11","2025-10-17 00:00:00","2025-10-27 00:00:00","2.90","2025-10-20 00:00:00","2025-10-20 00:00:00"
"ICNE11","2025-10-20 00:00:00","2025-10-27 00:00:00","11.89","2025-10-21 00:00:00","2025-10-21 00:00:00"
"SNFF11","2025-10-15 00:00:00","2025-10-24 00:00:00","1.10","2025-10-17 00:00:00","2025-10-17 00:00:00"
"SNME11","2025-10-15 00:00:00","2025-10-24 00:00:00","0.15","2025-10-17 00:00:00","2025-10-17 00:00:00"
"FCFL11","2025-10-17 00:00:00","2025-10-24 00:00:00","0.91","2025-10-20 00:00:00","2025-10-20 00:00:00"
"MMPD11","2025-10-17 00:00:00","2025-10-24 00:00:00","0.98","2025-10-18 00:00:00","2025-10-18 00:00:00"
"HBCR11","2025-10-17 00:00:00","2025-10-24 00:00:00","0.74","2025-10-20 00:00:00","2025-10-20 00:00:00"
"ERCR11","2025-10-17 00:00:00","2025-10-24 00:00:00","420.46","2025-10-20 00:00:00","2025-10-20 00:00:00"
"SNCI11","2025-10-15 00:00:00","2025-10-24 00:00:00","1.00","2025-10-17 00:00:00","2025-10-17 00:00:00"
"SNEL11","2025-10-15 00:00:00","2025-10-24 00:00:00","0.10","2025-10-16 00:00:00","2025-10-16 00:00:00"
"WSEC11","2025-10-08 00:00:00","2025-10-24 00:00:00","4.07","2025-10-10 00:00:00","2025-10-10 00:00:00"
"XPML11","2025-10-17 00:00:00","2025-10-24 00:00:00","0.92","2025-10-20 00:00:00","2025-10-20 00:00:00"
"EXES11","2025-10-17 00:00:00","2025-10-24 00:00:00","0.13","2025-10-20 00:00:00","2025-10-20 00:00:00"
"EQIR11","2025-10-17 00:00:00","2025-10-24 00:00:00","0.10","2025-10-20 00:00:00","2025-10-20 00:00:00"
"CPUR11","2025-10-17 00:00:00","2025-10-24 00:00:00","0.10","2025-10-18 00:00:00","2025-10-18 00:00:00"
"ALZR11","2025-10-17 00:00:00","2025-10-24 00:00:00","0.08","2025-10-21 00:00:00","2025-10-21 00:00:00"
"APXM11","2025-10-17 00:00:00","2025-10-24 00:00:00","0.29","2025-10-18 00:00:00","2025-10-18 00:00:00"
"BPML11","2025-10-17 00:00:00","2025-10-24 00:00:00","0.92","2025-10-20 00:00:00","2025-10-20 00:00:00"
"BTLG11","2025-10-15 00:00:00","2025-10-24 00:00:00","0.79","2025-10-17 00:00:00","2025-10-17 00:00:00"
"BTAL11","2025-10-17 00:00:00","2025-10-24 00:00:00","0.95","2025-10-20 00:00:00","2025-10-20 00:00:00"
"XPIN11","2025-10-17 00:00:00","2025-10-24 00:00:00","0.85","2025-10-20 00:00:00","2025-10-20 00:00:00"
"FMOF11","2025-10-16 00:00:00","2025-10-23 00:00:00","8.30","2025-10-17 00:00:00","2025-10-17 00:00:00"
"VVCR11","2025-10-16 00:00:00","2025-10-23 00:00:00","0.06","2025-10-17 00:00:00","2025-10-17 00:00:00"
"VVRI11","2025-10-16 00:00:00","2025-10-23 00:00:00","0.75","2025-10-17 00:00:00","2025-10-17 00:00:00"
"CPSH11","2025-10-16 00:00:00","2025-10-23 00:00:00","0.10","2025-10-17 00:00:00","2025-10-17 00:00:00"
"BROF11","2025-10-16 00:00:00","2025-10-23 00:00:00","0.53","2025-10-17 00:00:00","2025-10-17 00:00:00"
"BVAR11","2025-10-15 00:00:00","2025-10-23 00:00:00","4.30","2025-10-17 00:00:00","2025-10-17 00:00:00"
"RBRX11","2025-10-14 00:00:00","2025-10-22 00:00:00","0.09","2025-10-15 00:00:00","2025-10-15 00:00:00"
"ALZC11","2025-10-15 00:00:00","2025-10-22 00:00:00","0.10","2025-10-17 00:00:00","2025-10-17 00:00:00"
"MCRE11","2025-10-15 00:00:00","2025-10-22 00:00:00","0.11","2025-10-17 00:00:00","2025-10-17 00:00:00"
"VTPL11","2025-10-15 00:00:00","2025-10-22 00:00:00","0.51","2025-10-17 00:00:00","2025-10-17 00:00:00"
"CPOF11","2025-10-15 00:00:00","2025-10-22 00:00:00","0.42","2025-10-17 00:00:00","2025-10-17 00:00:00"
"AFHI11","2025-10-14 00:00:00","2025-10-21 00:00:00","1.01","2025-10-16 00:00:00","2025-10-16 00:00:00"
