"ticker","revenue_due_0_3m_pct","revenue_due_3_6m_pct","revenue_due_6_9m_pct","revenue_due_9_12m_pct","revenue_due_12_15m_pct","revenue_due_15_18m_pct","revenue_due_18_21m_pct","revenue_due_21_24m_pct","revenue_due_24_27m_pct","revenue_due_27_30m_pct","revenue_due_30_33m_pct","revenue_due_33_36m_pct","revenue_due_over_36m_pct","revenue_due_undetermined_pct","revenue_igpm_pct","revenue_inpc_pct","revenue_ipca_pct","revenue_incc_pct","created_at","updated_at"
"BTML11","0.0150","0.0927","0.0000","0.1743","0.1710","0.0262","0.0396","0.0000","0.0000","0.1084","0.1804","0.1921","0.0000","0","0.0346","0.0000","0.4842","0.0000","2024-05-22 00:00:00","2025-10-05 00:00:00"
"ERCR11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"ONEF11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"SOLR11","0","0","0","0","0","0","0","0","0","0","0","0","1.0000","0","0","0","1.0000","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"TSER11","0","0","0","0","0","0","0","0","0","0","0","0","1.0000","0","0","0","1.0000","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"ABCP11","0.0240","0.0150","0.0323","0.0092","0.0735","0.0436","0.0204","0.0463","0.0492","0.0616","0.0269","0.0643","0.3873","0.1459","0.0308","0.0046","0.1047","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"RBRF11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2024-05-22 00:00:00","2025-11-07 00:00:00"
"RBRD11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.6104","0.0000","0.0000","0.0000","0.0000","0.3895","0.0000","0.0000","0.0000","1.0000","0.0000","2024-05-22 00:00:00","2025-09-21 00:00:00"
"RBOP11","0","0","0","0","0.2972","0","0","0","0","0","0","0","0.7027","0","0","0","1.0000","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"RBLG11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","1.0000","0.0000","2024-05-22 00:00:00","2025-11-07 00:00:00"
"RBIR11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-07 00:00:00"
"RBHY11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-07 00:00:00"
"RBHG11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-07 00:00:00"
"RBFF11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-07 00:00:00"
"RBDS11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-07 00:00:00"
"PVBI11","0.0437","0.1090","0.0257","0.0555","0.0041","0.0114","0.0705","0.0101","0.0000","0.0280","0.0059","0.0738","0.5616","0.0000","0.2578","0.0000","0.6938","0.0000","2024-05-22 00:00:00","2025-09-28 00:00:00"
"PULV11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-07 00:00:00"
"PSEC11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025-10-30 00:00:00","2025-11-07 00:00:00"
"PRSV11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"PRSN11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-06-10 00:00:00","2025-11-07 00:00:00"
"PQDP11","0.0018","0.0819","0.0011","0.0067","0.0186","0.0298","0.0217","0.0107","0.0481","0.0383","0.0407","0.0119","0.6845","0.0037","0.1098","0.0074","0.8827","0.0000","2024-05-22 00:00:00","2025-09-21 00:00:00"
"PQAG11","0","0","0","0","0","0","0.0453","0","0","0","0","0","0.9546","0","0","0","1.0000","0","2024-05-22 00:00:00","2025-11-07 00:00:00"
"PORD11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-07 00:00:00"
"PNRC11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-07 00:00:00"
"PNPR11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-07 00:00:00"
"PNDL11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-11-07 00:00:00"
"PNCR11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-07 00:00:00"
"PMLL11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025-08-17 00:00:00","2025-09-21 00:00:00"
"PMIS11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-29 00:00:00","2025-11-07 00:00:00"
"PMFO11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-07 00:00:00"
"PLRI11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-07 00:00:00"
"PLCR11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-07 00:00:00"
"PLAG11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","1.0000","0.0000","2025-07-02 00:00:00","2025-11-07 00:00:00"
"PEMA11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-07 00:00:00"
"PCIP11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025-10-10 00:00:00","2025-11-07 00:00:00"
"PATL11","0","0","0.3817","0.1985","0","0.0283","0.3142","0","0","0","0","0","0.0770","0","0","0","1.0000","0","2024-05-22 00:00:00","2025-11-07 00:00:00"
"PATC11","0.0000","0.1700","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.3500","0.4800","0.0000","0.1511","0.0000","0.8488","0","2024-05-22 00:00:00","2025-11-07 00:00:00"
