"ticker","volatility_ratio","sharpe_ratio","treynor_ratio","jensen_alpha","beta_index","created_at","updated_at"
"BTML11","0.0000","0.0000","0.0000","0.000","0.000","2024-05-22 00:00:00","2025-10-05 00:00:00"
"ERCR11","0.0000","0.0000","0.0000","0.000","0.000","2024-05-22 00:00:00","2025-09-21 00:00:00"
"ONEF11","0.0000","0.0000","0.0000","0.000","0.000","2024-05-22 00:00:00","2025-09-21 00:00:00"
"SOLR11","0.0000","0.0000","0.0000","0.000","0.000","2024-05-22 00:00:00","2025-09-21 00:00:00"
"TSER11","0.0000","0.0000",NULL,NULL,"0.000","2024-05-22 00:00:00","2025-09-21 00:00:00"
"ABCP11","26.3274","0.2026","-0.1767","5.333","0.005","2024-05-22 00:00:00","2025-09-21 00:00:00"
"RBRF11","17.0060","0.1423","-2.4453","2.417","0.001","2024-05-22 00:00:00","2025-11-07 00:00:00"
"RBRD11","20.8722","0.4528","-0.1444","9.492","0.004","2024-05-22 00:00:00","2025-09-21 00:00:00"
"RBOP11","50.2199","-0.0186","0.0353","-0.941","-0.045","2024-05-22 00:00:00","2025-09-21 00:00:00"
"RBLG11","103.6153","-0.1123","-0.3725","-11.786","0.007","2024-05-22 00:00:00","2025-11-07 00:00:00"
"RBIR11","15.0600","0.6537","-0.0408","9.846","0.012","2024-05-22 00:00:00","2025-11-07 00:00:00"
"RBHY11","18.3594","0.4708","-0.8458","8.640","0.001","2024-05-22 00:00:00","2025-11-07 00:00:00"
"RBHG11","20.7111","0.4295","-0.2943","8.900","0.002","2024-05-22 00:00:00","2025-11-07 00:00:00"
"RBFF11","24.7786","0.7418","0.3855","18.393","0.001","2024-05-22 00:00:00","2025-11-07 00:00:00"
"RBDS11","90.5537","0.1423","-0.3887","12.849","0.001","2024-05-22 00:00:00","2025-11-07 00:00:00"
"PVBI11","19.8370","0.4401","-0.0808","8.737","0.008","2024-05-22 00:00:00","2025-09-28 00:00:00"
"PULV11","54.7804","0.3106","0.2811","16.978","0.001","2024-05-22 00:00:00","2025-11-07 00:00:00"
"PSEC11","6.3790","1.4507","0.8242","8.761","-0.001","2025-10-30 00:00:00","2025-11-07 00:00:00"
"PRSV11","78.1181","-0.2212","0.3073","-17.240","-0.010","2024-05-22 00:00:00","2025-09-21 00:00:00"
