"ticker","dy_monthly_pct","dy_pct","sum_anual_dy_amt","last_dividend_amt","last_payment_date","market_cap_value","enterprise_value","price_book_ratio","equity_per_share","revenue_per_share","dividend_payout_pct","growth_rate","cap_rate","leverage_ratio","equity_value","variation_month_ratio","variation_year_ratio","equity_month_ratio","dividend_reserve_amt","admin_fee_due_amt","perf_fee_due_amt","total_cash_amt","expected_revenue_amt","liabilities_total_amt","created_at","updated_at"
"BTML11","0.93","9.94","11.06","1.04","2025-11-14 00:00:00","126320605.00","122267982.51","0.8730","127.429","0.000","0.00","10.319","0.000","0.0090","144652622.00","1.9272","25.7917","0.0080","1.00","12177.61","0.00","5351524.79","0.00","1298902.30","2024-05-22 00:00:00","2025-10-05 00:00:00"
"ERCR11","0.55","0.00","0.00","420.46","2025-10-24 00:00:00","180576000.00","180380270.78","5.0110","15167.544","3.377","0.00","-47.210","0.000","0.0020","36038085.00","-0.1569","-0.5996","-0.0015","10.00","20487.47","0.00","267100.90","8023.62","71371.68","2024-05-22 00:00:00","2025-09-21 00:00:00"
"ONEF11","0.02","0.00","0.00","0.03","2024-02-23 00:00:00","182227330.00","180986180.20","1.5420","129.699","0.027","1185.20","-9.261","0.251","0.2514","118155565.00","-9.0260","0.0000","-0.2275","2602.00","41804.39","0","30950900.49","25000.00","29709750.69","2024-05-22 00:00:00","2025-09-21 00:00:00"
"SOLR11","0.45","0.00","0.00","4.77","2023-04-10 00:00:00","66112042.00","64929956.93","1.0830","970.717","0.057","0.00","-3.796","0.000","0.0007","61041579.00","-5.9338","-5.5150","-0.0593","1.00","42567.80","0.00","1225829.67","3583.61","43744.60","2024-05-22 00:00:00","2025-09-21 00:00:00"
"TSER11","1.01","11.05","10.72","0.98","2025-11-14 00:00:00","144093888.00","257131070.16","1.0690","90.764","1.276","0.75","5.549","0.011","0.9175","134829899.00","1.0689","5.3819","0.0008","19.00","56608.84","0","10665666.97","1896180.42","123702849.13","2024-05-22 00:00:00","2025-09-21 00:00:00"
"ABCP11","0.88","10.03","7.45","0.65","2025-11-07 00:00:00","349743520.00","347959770.80","0.6940","106.945","1.372","0.39","0.088","0.005","0.0058","503612185.00","0.5322","5.4820","0.0006","14494.00","103235.59","0.00","7619762.53","6462748.49","2916382.33","2024-05-22 00:00:00","2025-09-21 00:00:00"
"RBRF11","1.80","13.56","0.90","0.12","2025-10-16 00:00:00","909771205.00","876652021.88","0.7710","8.629","0.000","0.00","0.988","0.000","0.0009","1180545093.00","0.0000","2.5672","0.0000","113715.00","723578.10","0.00","34192176.51","30469.92","1072993.39","2024-05-22 00:00:00","2025-11-07 00:00:00"
"RBRD11","1.36","14.55","5.87","0.55","2025-11-14 00:00:00","74719565.00","71038989.03","0.6210","64.944","0.993","0.51","1.752","0.008","0.0108","120261505.00","0.8773","9.6412","0.0010","7466.00","15248.99","0.00","4595239.37","1838981.04","1303538.40","2024-05-22 00:00:00","2025-09-21 00:00:00"
"RBOP11","1.67","1.67","3.50","3.50","2024-11-14 00:00:00","21348423.00","19075114.14","0.3070","684.304","2.909","4.22","-10.418","0.018","0.0189","69569063.00","0.0456","-0.7856","0.0004","2872.00","63830.15","0.00","3591205.21","295754.76","1317896.35","2024-05-22 00:00:00","2025-09-21 00:00:00"
"RBLG11","1.11","9.84","5.41","0.61","2025-08-08 00:00:00","35204543.00","34646300.63","0.8390","65.516","0.259","0.00","-4.792","0.000","0.0016","41943292.00","0.6131","-11.6367","0.0018","246.00","41485.18","0.00","627292.04","166039.52","69049.67","2024-05-22 00:00:00","2025-11-07 00:00:00"
"RBIR11","4.32","11.25","10.24","3.93","2025-11-14 00:00:00","139103965.00","137828874.31","0.9330","97.484","30.174","0.06","-3.160","0.017","0.0203","149015711.00","-0.3116","9.9948","-0.0205","1518.00","183335.03","0.00","4390509.18","46124260.12","3023701.49","2024-05-22 00:00:00","2025-11-07 00:00:00"
"RBHY11","1.38","16.44","12.50","1.05","2025-11-14 00:00:00","143963185.00","140283929.29","0.8360","90.895","0.454","2.31","-2.169","0.012","0.0140","172109491.00","1.3417","8.7894","0.0018","3265.00","143777.91","258045.97","6114032.67","858952.62","2415841.96","2024-05-22 00:00:00","2025-11-07 00:00:00"
"RBHG11","1.26","15.31","9.75","0.80","2025-11-14 00:00:00","138055565.00","137942708.58","0.7330","86.840","0.083","9.68","-1.321","0.009","0.0100","188265268.00","0.9706","9.0497","0.0004","8199.00","132198.33","0","1068526.54","179092.19","1887891.12","2024-05-22 00:00:00","2025-11-07 00:00:00"
"RBFF11","1.04","12.49","6.13","0.51","2025-11-14 00:00:00","184048964.00","179031038.24","0.7900","62.114","0.014","36.71","1.142","0.008","0.0305","232880543.00","3.6092","18.5434","0.0276","26009.00","126406.66","3677738.95","11601021.74","53222.31","7107985.98","2024-05-22 00:00:00","2025-11-07 00:00:00"
"RBDS11","127.03","0.00","0.00","2.35","2021-07-12 00:00:00","234068.00","-71702.79","0.1130","16.333","9.543","0.01","1.713","0.007","0.0420","2066446.00","16.7865","12.9994","0.1678","819.00","43723.29","0.00","392651.41","1207347.70","86880.62","2024-05-22 00:00:00","2025-11-07 00:00:00"
"PVBI11","0.59","8.06","6.10","0.45","2025-11-07 00:00:00","2053474771.00","2001358364.07","0.7020","107.829","0.452","0.99","2.527","0.004","0.0049","2925418503.00","0.3889","8.8859","-0.0004","162356.00","1578295.51","0.00","53759265.76","12270364.44","14393989.83","2024-05-22 00:00:00","2025-09-28 00:00:00"
"PULV11","1.13","12.87","1.14","0.10","2025-11-14 00:00:00","105842117.00","103294853.03","0.8820","10.003","0.001","113.59","3.775","0.009","0.0115","120034745.00","2.4872","17.1282","0.0152","987.00","169311.16","0.00","3930396.05","10036.71","1383132.08","2024-05-22 00:00:00","2025-11-07 00:00:00"
"PSEC11","1.16","14.15","8.55","0.70","2025-10-15 00:00:00","1112058406.00","1675043077.41","1.4570","41.480","0.023","16.64","-7.117","0.009","0.7648","763211248.00","0.5265","8.9109","-0.0041","55894.00","526156.58","0","21835246.76","432251.17","583715955.17","2025-10-30 00:00:00","2025-11-07 00:00:00"
"PRSV11","42.70","0.00","0.00","14.10","2020-11-27 00:00:00","8458370.00","8528163.82","0.2620","126.018","0.023","0.00","-0.177","0.000","0.0211","32280747.00","-2.1541","-17.0887","-0.0215","812.00","75855.64","0","610813.98","5784.84","680607.80","2024-05-22 00:00:00","2025-09-21 00:00:00"
"PRSN11","17.35","17.14","0.17","0.17","2025-01-15 00:00:00","3166623.00","1296498.52","0.0000","0.000","0.740","0.01","-21.119","0.000","0.0000","0.00","-0.1482","-16.6934","-0.0014","941.00","0.00","0.00","3880979.50","2391799.02","2010855.02","2024-06-10 00:00:00","2025-11-07 00:00:00"
"PQDP11","0.73","9.81","233.55","17.30","2025-11-19 00:00:00","239533285.00","225916813.06","0.7110","3352.471","81.636","0.23","0.908","0.006","0.0123","337127877.00","-1.0039","4.3234","-0.0147","3267.00","74743.88","0.00","18067310.67","8209424.85","4146138.73","2024-05-22 00:00:00","2025-09-21 00:00:00"
"PQAG11","0.88","10.28","5.60","0.48","2025-11-14 00:00:00","762418086.00","788220148.53","0.9850","55.338","0.001","405.33","-3.717","0.008","0.0344","774283312.00","0.8601","3.7044","0.0001","462.00","135756.63","0","812033.72","16224.26","26614096.25","2024-05-22 00:00:00","2025-11-07 00:00:00"
"PORD11","1.25","13.75","1.10","0.10","2025-11-07 00:00:00","297151488.00","220621644.17","0.8340","9.558","0.001","182.48","0.008","0.010","0.0122","356340504.00","1.1396","8.7413","0.0009","46915.00","31251.22","303391.13","80878593.01","20431.23","4348749.18","2024-05-22 00:00:00","2025-11-07 00:00:00"
"PNRC11","1.05","9.72","5.83","0.63","2025-11-07 00:00:00","24606000.00","23454683.26","1.4320","41.913","0.012","15.44","-58.585","0.004","0.0238","17188668.00","0.2910","-6.7980","-0.0013","104.00","14975.34","0","1559778.17","4780.56","408461.43","2024-05-22 00:00:00","2025-11-07 00:00:00"
"PNPR11","39.69","0.00","0.00","19.05","2024-11-29 00:00:00","43095168.00","40645688.04","1.3160","36.475","33.775","0.00","-31.176","0.000","0.0129","32747884.00","0.0770","-27.0240","0.0007","17.00","4500.00","0.00","2870390.50","30323621.72","420910.54","2024-05-22 00:00:00","2025-11-07 00:00:00"
"PNDL11",NULL,NULL,"0.00","0.00",NULL,"282094000.00","279815584.96","1.8420","542.780","0.035","0.00","-1.391","0.000","0.0522","153115078.00","0.0038","-0.1033","0","55.00","120313.40","0","10269625.59","9937.80","7991210.55","2025-07-02 00:00:00","2025-11-07 00:00:00"
"PNCR11","3.34","20.72","9.69","1.56","2025-10-07 00:00:00","23380000.00","873677.16","0.9860","47.422","0.009","182.22","-26.948","0.033","0.0340","23711020.00","0.4472","-5.0011","-0.0284","112.00","14238.24","0","23311602.32","4280.57","805279.48","2024-05-22 00:00:00","2025-11-07 00:00:00"
"PMLL11","0.85","9.89","10.01","0.86","2025-11-14 00:00:00","1415127633.00","1527153039.05","0.8340","121.401","0.910","0.95","10.548","0.007","0.1073","1697439457.00","0.7261","10.0046","0.0002","125954.00","613014.91","0.00","55702563.16","12718924.06","182129525.21","2025-08-17 00:00:00","2025-09-21 00:00:00"
"PMIS11","1.15","14.40","1.13","0.09","2025-11-14 00:00:00","115761352.00","101723054.64","0.8420","9.292","0.021","4.37","-0.623","0.010","0.0114","137549011.00","1.1897","12.2907","0.0019","6907.00","113411.63","6442.18","15316176.41","317188.18","1573943.05","2024-05-29 00:00:00","2025-11-07 00:00:00"
"PMFO11","0.96","11.48","10.05","0.84","2025-10-14 00:00:00","85440658.00","84294356.54","1.0110","86.640","0.034","0.00","19.205","0.000","0.0005","84552233.00","2.9285","15.7476","0.0195","195.00","28166.55","0.00","1188831.83","33506.05","42530.37","2024-05-22 00:00:00","2025-11-07 00:00:00"
"PLRI11","1.17","14.43","1.36","0.11","2025-08-07 00:00:00","9008630.00","8834944.08","0.6430","14.692","0.360","0.00","-26.383","0.000","0.0043","14020160.00","0.3329","-16.7614","0.0033","845.00","17346.81","0.00","186481.71","343076.77","60510.79","2024-05-22 00:00:00","2025-11-07 00:00:00"
"PLCR11","1.01","11.95","9.45","0.80","2025-09-05 00:00:00","166835268.00","155751466.35","0.9480","83.405","0.000","0.00","-9.743","0.010","0.0116","175914246.00","-7.5526","0.8463","-0.0843","14034.00","195536.30","0.00","13128326.73","0.00","2044525.08","2024-05-22 00:00:00","2025-11-07 00:00:00"
"PLAG11","0.98","7.69","3.77","0.48","2025-11-07 00:00:00","246960000.00","248071335.22","0.7350","66.668","0.575","0.90","10.203","0.008","0.0850","336008103.00","0.8691","14.1190","0.0005","15376.00","280006.75","0.00","27854854.99","2899897.37","28562990.21","2025-07-02 00:00:00","2025-11-07 00:00:00"
"PEMA11","4.18","16.15","5.96","1.54","2025-11-14 00:00:00","20357760.00","20311877.27","0.6070","60.731","0.008","53.15","-9.731","0.007","0.0073","33523574.00","0.0675","0.1130","-0.0061","291.00","6488.75","0","291823.71","4280.57","245940.98","2024-05-22 00:00:00","2025-11-07 00:00:00"
"PCIP11","1.04","1.04","0.85","0.85","2025-10-15 00:00:00","1385093184.00","1309145276.17","1.3540","60.113","0.318","2.67","53.022","0.014","0.0154","1022623950.00","0.8585","12.4856","-0.0005","113265.00","1224229.57","0","96467803.75","5408149.31","15756617.92","2025-10-10 00:00:00","2025-11-07 00:00:00"
"PATL11","0.95","11.67","6.97","0.57","2025-11-10 00:00:00","298244216.00","294816899.71","0.6190","96.470","1.213","0.47","-1.382","0.006","0.0081","481534117.00","1.1756","6.1790","0.0058","25657.00","56113.94","0.00","7407149.97","6053899.62","3880002.68","2024-05-22 00:00:00","2025-11-07 00:00:00"
"PATC11","0.12","3.38","1.42","0.05","2025-11-10 00:00:00","145947905.00","145921453.82","1.0190","41.178","0.140","0.36","0.025","0.001","0.0051","143195272.00","0.0833","1.9811","-0.0003","5037.00","226449.72","0","861582.74","485830.28","730808.56","2024-05-22 00:00:00","2025-11-07 00:00:00"
"PATA11","8.69","11.96","1.27","0.92","2025-11-07 00:00:00","18024254.00","15856657.57","1.0550","10.041","0.002","61.93","0.186","0.010","0.0181","17090510.00","0.9188","10.9166","-0.0009","278.00","18000.00","41350.47","1302639.75","2792.36","309428.32","2025-07-02 00:00:00","2025-11-07 00:00:00"
"PABY11","1.24","0.00","0.00","0.13","2013-01-14 00:00:00","7948032.00","228557942.53","-0.3350","-31.265","0.000","0.00","25.028","-0.001","-9.3286","-23711416.00","1.7824","15.2158","0.0187","494.00","0.00","0.00","569584.13","0.00","221194662.66","2024-05-22 00:00:00","2025-11-07 00:00:00"
"OULG11","57.35","3.80","1.03","15.52","2025-11-19 00:00:00","67143545.00","-4508820.46","0.4390","61.670","0.245","0.00","-23.609","0.000","0.0216","153019907.00","-20.6565","-20.7421","-0.2065","3320.00","110226.69","0.00","74711114.17","606944.84","3306876.71","2024-05-22 00:00:00","2025-11-07 00:00:00"
"OUJP11","1.41","16.88","12.57","1.05","2025-11-14 00:00:00","242139989.00","216828106.69","0.7420","100.384","0.005","237.78","1.535","0.012","0.0176","326486265.00","1.0252","12.1272","-0.0016","26918.00","231836.39","0.00","30723472.52","16413.57","5736829.21","2024-05-22 00:00:00","2025-11-07 00:00:00"
"OPTM11","0.00","0.00","0.14","0.14","2024-11-14 00:00:00","0.00","15188604.27","0.0000","61.029","217.350","0.00","3.438","0.000","3.5379","4473691.00","6.0121","-56.0937","0.0601","14.00","21603.26","0.00","638704.49","15932643.63","15827308.76","2024-05-22 00:00:00","2025-11-07 00:00:00"
"OCRE11","0.72","8.74","7.86","0.65","2025-11-07 00:00:00","38068740.00","36430036.17","1.0350","86.954","0.474","0.00","55.643","0.000","0.0125","36780525.00","77.6353","77.0045","0.7684","466.00","18672.70","0.00","2734592.18","200488.91","461409.35","2024-05-22 00:00:00","2025-11-07 00:00:00"
"OBAL11","7.48","14.10","154.41","81.96","2025-08-25 00:00:00","154700505.00","174183043.10","0.8420","1301.204","109.841","0.00","20.183","0.000","0.2754","183832807.00","5.3040","107.9590","0.0530","108.00","23711.50","0","31148308.91","15518160.84","50630847.01","2025-07-02 00:00:00","2025-11-07 00:00:00"
"NVHO11","0.75","10.19","1.23","0.09","2025-11-10 00:00:00","498764287.00","494967487.59","0.7230","16.623","0.093","0.93","8.323","0.005","0.0102","689752069.00","0.5693","5.0465","0.0004","1796.00","60381.59","0.00","10401385.37","3875766.61","7019531.96","2024-05-22 00:00:00","2025-11-07 00:00:00"
"NSLU11","0.79","9.07","18.92","1.64","2025-11-07 00:00:00","269650131.00","260133511.59","0.9910","210.298","1.749","0.00","2.231","0.000","0.0012","271974851.00","0.8656","8.8567","0.0004","5245.00","81762.90","0.00","9574442.68","2262245.31","316480.27","2024-05-22 00:00:00","2025-11-07 00:00:00"
"NEWU11","0.25","1.28","1.28","0.25","2025-11-14 00:00:00","74192580.00","68757136.19","1.1900","84.014","22.463","0.01","16.596","0.002","0.0069","62338346.00","-0.0639","9.3540","-0.0030","1093.00","102652.86","0.00","9811327.50","16667226.77","428443.69","2024-05-22 00:00:00","2025-09-21 00:00:00"
"NEWL11","0.91","10.89","11.40","0.95","2025-11-14 00:00:00","294813992.00","413168739.60","0.8080","129.561","1.249","0.76","-0.314","0.007","0.4889","365027569.00","0.9619","62.2364","0.0023","9881.00","242203.98","0.00","59822043.29","3518853.31","178458532.89","2024-05-22 00:00:00","2025-11-07 00:00:00"
"NCRI11","1.16","14.47","1.24","0.10","2025-10-14 00:00:00","33930491.00","30346423.71","0.8620","9.967","0.001","0.00","-1.077","0.000","0.0014","39369320.00","-0.2183","1.6234","-0.0021","1198.00","51393.90","0","3680129.87","4280.57","56562.58","2024-05-22 00:00:00","2025-11-07 00:00:00"
"NAVT11","1.08","13.11","9.13","0.75","2025-10-20 00:00:00","42663810.00","44216173.24","0.8150","85.547","0.011","0.00","0.674","0.000","0.1094","52378812.00","2.8691","25.0875","0.0157","2505.00","48855.71","0.00","4167716.36","6444.54","5732325.60","2024-05-22 00:00:00","2025-11-07 00:00:00"
"NAUI11","16.34","0.00","0.00","179.76","2025-03-14 00:00:00","56908500.00","65948088.69","0.0000","0.000","174.212","0.00","-60.384","0.000","0.0000","0.00","-0.3470","-3.0297","-0.0034","111.00","32994.24","0.00","1137606.61","9012856.66","10177195.30","2025-07-02 00:00:00","2025-11-07 00:00:00"
"MXRF11","1.04","12.12","1.16","0.10","2025-11-07 00:00:00","4185203092.00","4185101197.25","1.0070","9.499","0.069","1.45","-1.146","0.011","0.0113","4154120032.00","0.1755","13.7236","-0.0089","1331737.00","3161001.29","0.00","47228885.78","30234066.84","47126991.03","2024-05-22 00:00:00","2025-11-07 00:00:00"
"MMVE11",NULL,NULL,"0.00","0.00",NULL,"74093292.00","73660724.53","0.9810","149.863","0.062","0.00","106.361","0.000","0.0016","75536550.00","-0.3213","99.1954","-0.0032","135.00","12638.72","0.00","552258.41","31146.21","119690.94","2024-05-22 00:00:00","2025-11-07 00:00:00"
