"ticker","asset_name","asset_class","asset_address","total_area","units_count","vacancy_ratio","non_compliant_ratio","assets_status","created_at","updated_at"
"ZAVI11","SERRA_TAGIA","Imóveis para renda acabados","Rodovia ES-010, n 3.917 - Jardim Limoeiro - Serra-ES, CEP 29163-370","7748.64","1","0.0000","0.0000","Inativo","2025-09-07 00:00:00","2025-10-26 00:00:00"
"SEQR11","SANT ANTONIO S","Imóveis para renda acabados","Rua Walter Martins da Silva, 500, Santo Antônio da Patrula - RS, CEP: 95500-000","11818.00","1","0.0000","0.0000","Ativo","2025-01-05 00:00:00","2025-10-28 00:00:00"
"SEQR11","Santo Antônio","Imóveis para renda acabados","Rua Walter Martins da Silva, nº 500, Santo Antônio da Patrula - RS, CEP 95500-000","11818.00","1","0.0000","0.0000","Ativo","2024-06-30 00:00:00","2025-10-28 00:00:00"
"AIEC11","Rochavera - Torre D","Imóveis para venda acabados","Avenida das Nações Unidas, 14.171 - Chucri Zaidan - São Paulo - SP","14648.00","1","0.0000","0.0000","Inativo","2024-05-23 00:00:00","2024-08-17 00:00:00"
"AIEC11","Standard Building","Imóveis para venda acabados","Avenida Presidente Wilson, 118 - Centro - Rio de Janeiro - RJ","8341.00","1","0.0000","0.0000","Inativo","2025-01-19 00:00:00","2025-01-25 00:00:00"
"SEQR11","Madureira","Imóveis para renda acabados","Rua Ewbank da Câmara, nº 48, Rio de Janeiro - RJ, CEP 21310-150","12201.00","1","0.0000","0.0000","Ativo","2024-05-23 00:00:00","2025-10-28 00:00:00"
"SEQR11","Jandira","Imóveis para renda acabados","Rua José Albino Pereira, 342, Jandira - SP, CEP 06612-001","10329.00","1","0.0000","0.0000","Ativo","2024-05-23 00:00:00","2025-10-28 00:00:00"
"AJFI11","Garten Shopping","Imóveis para renda acabados","Av. Rolf Wiest, n° 333 , Bom Retiro - 89223-005, Joinville - SC,","41969.33","260","0.9640","0.0000","Inativo","2025-02-02 00:00:00","2025-04-26 00:00:00"
"SEQR11","LOJA HABITAR","Imóveis para renda acabados","Rua Nova York, 245, São Paulo - SP, CEP: 04560-000","3494.47","1","0.0000","0.0000","Ativo","2024-08-18 00:00:00","2025-10-28 00:00:00"
"SEQR11","Loja Habitarte Verde","Imóveis para renda acabados","Rua Nova York, 245, São Paulo - SP, CEP 04560-000","3416.00","1","0.0000","0.0000","Ativo","2024-05-23 00:00:00","2025-10-28 00:00:00"
"SCPF11","Shopping Center Piedade","Imóveis para renda acabados","Rua Junqueira Ayres, 165 - Barris - Salvador - BA","4752.34","55","0.2839","0.2253","Ativo","2024-05-23 00:00:00","2025-10-28 00:00:00"
"AJFI11","Nações Shopping","Imóveis para renda acabados","Av. Jorge Elias de Lucca, nº 765, Nossa Senhora da Salete - 88813-901, Criciúma - SC","44575.00","240","0.0989","0.1109","Inativo","2025-02-16 00:00:00","2025-10-05 00:00:00"
"SCPF11","Edifício Lafayette","Imóveis para renda acabados","Rua Tabapuã, 500","151.20","2","0.0000","0.0000","Ativo","2025-09-07 00:00:00","2025-10-28 00:00:00"
"ALZR11","BRF Bauru","Imóveis para renda acabados","Avenida Nacoes Unidas, 51, 51 - 15, Jardim Godoy, Bauru/SP, Brasil, 17021-365","3627.00","1","0.0000","0.0000","Inativo","2025-08-24 00:00:00","2025-08-30 00:00:00"
"ALZR11","Dasa - Sumaré","Imóveis para renda acabados","Avenida Sumaré, 1500, Perdizes, Sao Paulo/SP, Brasil, 05016-110","5227.43","1","0.0000","0.0000","Inativo","2025-02-23 00:00:00","2025-10-05 00:00:00"
"SARE11","Galpão Logístico Barueri - SP","Imóveis para renda acabados","Avenida Tucunaré , 720, Tamboré - CEP: 06460-020, Barueri - SP","18884.00","1","0.0000","0.0000","Ativo","2024-05-23 00:00:00","2025-10-28 00:00:00"
"ZAVI11","IMO COPOBRAS","Imóveis para renda acabados","Av. Moita Bonita, nº 266, Guarulhos - SP, CEP 07270-395","11548.35","1","0.0000","0.0000","Inativo","2024-05-23 00:00:00","2025-10-26 00:00:00"
"SARE11","Cond. Work Bela Cintra","Imóveis para renda acabados","Rua Bela Cintra, 755, São Paulo - SP","4656.85","18","0.0000","0.0000","Ativo","2024-05-23 00:00:00","2025-10-28 00:00:00"
"SARE11","Galpão Logístico Utinga","Imóveis para renda acabados","Avenida João Pessoa, nº 500, Jardim Utinga, Cidade de Santo André - São Paulo - SP, CEP 09230-650","40473.68","1","0.4370","0.0000","Ativo","2024-06-09 00:00:00","2025-10-28 00:00:00"
"ALZR11","Imóvel Dasa - Sumaré","Imóveis para renda acabados","Avenida Sumaré, 1500, Perdizes, Sao Paulo/SP, Brasil, 05016-110","5227.00","1","0.0000","0.0000","Inativo","2024-12-27 00:00:00","2025-02-22 00:00:00"
"SARE11","COND. WORK BELA CINTRA","Imóveis para renda acabados","Rua Bela Cintra, 755, São Paulo/SP","4656.85","18","0.0000","0.0000","Ativo","2024-05-23 00:00:00","2025-10-28 00:00:00"
"ALZR11","BRF - Bauru","Imóveis para renda acabados","Avenida Nacoes Unidas, 51, 51 - 15, Jardim Godoy, Bauru/SP, Brasil, 17021-365","3627.00","1","0.0000","0.0000","Inativo","2025-08-10 00:00:00","2025-08-16 00:00:00"
"ALZR11","Galpao Femsa","Imóveis para renda acabados","Avenida Dos Estados, S/n, Sem Complemento, Vila Metalurgica, Santo Andre/SP, Brasil, 09220-570","36740.00","1","0.0000","0.0000","Inativo","2024-08-18 00:00:00","2025-10-05 00:00:00"
"ALZR11","Ed. Araporé - Jd Guedala","Imóveis para renda acabados","Rua Ministro Godoi, 1697, Sem Complemento, Perdizes, Sao Paulo/SP, Brasil, 05015-001","0.00","1","1.0000","0.0000","Inativo","2024-05-23 00:00:00","2025-05-31 00:00:00"
"SAIC11","Praça Capital - Bloco 02","Imóveis para renda acabados","SIA Trecho 01 - Lotes 630, 640, 650, 660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 770 e 780  - BRASÍLIA - DF","11179.13","22","1.0000","0.0000","Ativo","2025-07-02 00:00:00","2025-10-28 00:00:00"
"ALZR11","OBA Hortifruti - CD Sumare","Imóveis para renda acabados","Avenida Americo Ribeiro Dos Santos, 385, Sem Complemento, Parque Bandeirantes I (nova Veneza), Sumaré/SP, Brasil, 13181-715","33795.13","1","0.0000","0.0000","Inativo","2024-12-28 00:00:00","2025-10-05 00:00:00"
"ALZR11","Ed. Moderna/Santillana - Belenzinho","Imóveis para renda acabados","Rua Padre Adelino, 758, Sem Complemento, Quarta Parada, Sao Paulo/SP, Brasil, 03303-000","9260.00","1","0.0000","0.0000","Inativo","2024-12-27 00:00:00","2025-03-29 00:00:00"
"ALZR11","Dasa - Sumare","Imóveis para renda acabados","Avenida Sumare, 1500, Sem Complemento, Perdizes, Sao Paulo/SP, Brasil, 05016-110","5227.43","1","0.0000","0.0000","Inativo","2025-01-12 00:00:00","2025-09-20 00:00:00"
"AJFI11","Norte Shopping","Imóveis para renda acabados","Rodovia BR-470, nº  3000, Salto Norte - 89065-800, Blumenau - SC","35324.50","260","0.9028","0.0251","Inativo","2025-05-04 00:00:00","2025-10-26 00:00:00"
