"ticker","users_ranking_count","users_rank_movement_count","sirios_ranking_count","sirios_rank_movement_count","ifix_ranking_count","ifix_rank_movement_count","ifil_ranking_count","ifil_rank_movement_count","created_at","updated_at"
"MCCI11","0","0","0","0","27","0","27","2","2024-05-22 00:00:00","2025-10-28 00:00:00"
"MAXR11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-19 00:00:00"
"MANA11","0","0","0","0","83","0","66","-1","2024-05-22 00:00:00","2025-10-28 00:00:00"
"LVBI11","0","0","0","0","23","0","24","-1","2024-05-22 00:00:00","2025-10-28 00:00:00"
"LTMT11","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"LRDI11","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"LPLP11","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"LLAO11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-07-02 00:00:00","2025-10-28 00:00:00"
"LKDV11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-05-22 00:00:00","2025-10-28 00:00:00"
"LIFE11","0","0","0","0","92","0","67","0","2024-06-10 00:00:00","2025-09-21 00:00:00"
"LFTT11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"LASC11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"KORE11","0","0","0","0","56","0","53","0","2024-05-22 00:00:00","2025-09-28 00:00:00"
"KNUQ11","0","0","0","0","15","0","15","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"KNSC11","0","0","0","0","22","0","22","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"KNRI11","0","0","0","0","7","0","7","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"KNRE11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"KNIP11","0","0","0","0","2","0","2","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"KNHY11","0","0","0","0","12","0","12","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"KNHF11","0","0","0","0","20","0","20","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"KNCR11","0","0","0","0","1","0","1","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"KIVO11","0","0","0","0","110","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"KISU11","0","0","0","0","94","0","46","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"KFOF11","0","0","0","0","63","0","56","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"KFEN11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-07-02 00:00:00","2025-10-28 00:00:00"
"KEVE11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"KCRE11","0","0","0","0","88","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"JSRE11","0","0","0","0","37","0","38","-1","2024-05-22 00:00:00","2025-10-28 00:00:00"
"JSCR11","0","0","0","0","104","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"JSAF11","0","0","0","0","64","0","57","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"JPPC11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"JPPA11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"JFLL11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"JCIN11","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"JCCJ11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"JBFO11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"JASC11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"ITRI11","0","0","0","0","65","0","58","1","2024-05-29 00:00:00","2025-10-05 00:00:00"
"ITIT11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"ITIP11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"ISCJ11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"IRIM11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"IRDM11","0","0","0","0","16","0","16","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"INRD11","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"INLG11","0","0","0","0","56","-1","0","0","2024-12-02 00:00:00","2025-10-28 00:00:00"
"ICRI11","0","0","0","0","80","0","0","0","2024-05-29 00:00:00","2025-10-28 00:00:00"
"ICNE11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-05-22 00:00:00","2025-10-28 00:00:00"
"IBFF11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"IBCR11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"IBBP11","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"BTML11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-05 00:00:00"
"HYPI11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-07-02 00:00:00","2025-10-28 00:00:00"
"HUSI11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"HUSC11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"HUCG11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"HTMX11","0","0","0","0","73","0","62","-1","2024-05-22 00:00:00","2025-10-28 00:00:00"
"HSRE11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"HSML11","0","0","0","0","21","0","21","0","2024-05-22 00:00:00","2025-10-19 00:00:00"
"HSLG11","0","0","0","0","44","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"HSAF11","0","0","0","0","103","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"HRES11","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-10-28 00:00:00"
"HREC11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"HRDF11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"HPDP11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-28 00:00:00"
"HOSI11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"HOMS11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-07-02 00:00:00","2025-10-28 00:00:00"
"HOFC11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"HLOG11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"HILG11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"HGRU11","0","0","0","0","11","0","11","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"HGRE11","0","0","0","0","34","0","34","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"HGPO11","0","0","0","0","110","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"HGLG11","0","0","0","0","4","0","4","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"HGIC11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"HGFF11","0","0","0","0","34","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"HGCR11","0","0","0","0","30","0","30","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"HGBS11","0","0","0","0","13","0","13","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"HGBL11","0","0","0","0","0","0","0","0","2024-05-29 00:00:00","2025-10-28 00:00:00"
"HFOF11","0","0","0","0","31","0","32","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"HDOF11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-05-22 00:00:00","2025-10-28 00:00:00"
"HDEL11","0","0","0","0","0","0","0","0","2024-06-10 00:00:00","2025-10-28 00:00:00"
"HCTR11","0","0","0","0","66","0","59","-1","2024-05-22 00:00:00","2025-10-28 00:00:00"
"HCST11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-05-22 00:00:00","2025-10-28 00:00:00"
"HCRI11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
"HCHG11","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-28 00:00:00"
