"ticker","display_name","sector","sub_sector","classification","management_type","target_market","traded_until_date","payment_date","dividend_amt","ref_month","month_dividends_amt","month_price_ref","dy_monthly","dy_12m_pct","dy_current_monthly_pct","dividends_12m_amt","last_dividend_amt","last_payment_date"
"ABCP11","Fundo Investimento Imobiliario Grand Plaza Shopping","Shoppings","Shoppings","Tijolo","Definida","Investidores Em Geral","2025-10-31 00:00:00","2025-11-07 00:00:00","0.65","2025-11-01","0.65","74.99","0.00866782237631684225","9.87","0.87","7.40","0.65","2025-11-07 00:00:00"
"ABCP11","Fundo Investimento Imobiliario Grand Plaza Shopping","Shoppings","Shoppings","Tijolo","Definida","Investidores Em Geral","2025-09-30 00:00:00","2025-10-07 00:00:00","0.50","2025-10-01","0.50","73.58","0.00679532481652622995","9.87","0.87","7.40","0.65","2025-11-07 00:00:00"
"ABCP11","Fundo Investimento Imobiliario Grand Plaza Shopping","Shoppings","Shoppings","Tijolo","Definida","Investidores Em Geral","2025-08-29 00:00:00","2025-09-05 00:00:00","0.50","2025-09-01","0.50","79.88","0.00625938908362543816","9.87","0.87","7.40","0.65","2025-11-07 00:00:00"
"ABCP11","Fundo Investimento Imobiliario Grand Plaza Shopping","Shoppings","Shoppings","Tijolo","Definida","Investidores Em Geral","2025-07-31 00:00:00","2025-08-07 00:00:00","0.50","2025-08-01","0.50","84.33","0.00592908810624925886","9.87","0.87","7.40","0.65","2025-11-07 00:00:00"
"ABCP11","Fundo Investimento Imobiliario Grand Plaza Shopping","Shoppings","Shoppings","Tijolo","Definida","Investidores Em Geral","2025-06-30 00:00:00","2025-07-07 00:00:00","1.15","2025-07-01","1.15","93.79","0.01226143512101503359","9.87","0.87","7.40","0.65","2025-11-07 00:00:00"
"ABCP11","Fundo Investimento Imobiliario Grand Plaza Shopping","Shoppings","Shoppings","Tijolo","Definida","Investidores Em Geral","2025-05-30 00:00:00","2025-06-06 00:00:00","0.80","2025-06-01","0.80","86.68","0.00922934933087217351","9.87","0.87","7.40","0.65","2025-11-07 00:00:00"
"ABCP11","Fundo Investimento Imobiliario Grand Plaza Shopping","Shoppings","Shoppings","Tijolo","Definida","Investidores Em Geral","2025-04-30 00:00:00","2025-05-08 00:00:00","0.60","2025-05-01","0.60","82.79","0.00724725208358497403","9.87","0.87","7.40","0.65","2025-11-07 00:00:00"
"ABCP11","Fundo Investimento Imobiliario Grand Plaza Shopping","Shoppings","Shoppings","Tijolo","Definida","Investidores Em Geral","2025-03-31 00:00:00","2025-04-07 00:00:00","0.50","2025-04-01","0.50","78.84","0.00634195839675291730","9.87","0.87","7.40","0.65","2025-11-07 00:00:00"
"ABCP11","Fundo Investimento Imobiliario Grand Plaza Shopping","Shoppings","Shoppings","Tijolo","Definida","Investidores Em Geral","2025-02-28 00:00:00","2025-03-11 00:00:00","0.50","2025-03-01","0.50","76.30","0.00655307994757536042","9.87","0.87","7.40","0.65","2025-11-07 00:00:00"
"ABCP11","Fundo Investimento Imobiliario Grand Plaza Shopping","Shoppings","Shoppings","Tijolo","Definida","Investidores Em Geral","2025-01-31 00:00:00","2025-02-07 00:00:00","0.50","2025-02-01","0.50","75.38","0.00663305916688776864","9.87","0.87","7.40","0.65","2025-11-07 00:00:00"
