"ticker","revenue_due_0_3m_pct","revenue_due_3_6m_pct","revenue_due_6_9m_pct","revenue_due_9_12m_pct","revenue_due_12_15m_pct","revenue_due_15_18m_pct","revenue_due_18_21m_pct","revenue_due_21_24m_pct","revenue_due_24_27m_pct","revenue_due_27_30m_pct","revenue_due_30_33m_pct","revenue_due_33_36m_pct","revenue_due_over_36m_pct","revenue_due_undetermined_pct","revenue_igpm_pct","revenue_inpc_pct","revenue_ipca_pct","revenue_incc_pct","created_at","updated_at"
"LTMT11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-11-22 00:00:00"
"ELDO11","0.2414","0.0503","0.0648","0.0303","0.0128","0.0437","0.0275","0.0411","0.0163","0.0287","0.0808","0.0388","0.3228","0","0.5552","0","0.4447","0","2025-07-02 00:00:00","2025-11-22 00:00:00"
"LRDI11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-11-22 00:00:00"
"LPLP11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-11-22 00:00:00"
"LLAO11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-11-22 00:00:00"
"LKDV11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"LIFE11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-06-10 00:00:00","2025-11-22 00:00:00"
"LFTT11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"LASC11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KORE11","0.0034","0.0000","0.0417","0.1039","0.0276","0.0214","0.0158","0.0186","0.0072","0.0846","0.0963","0.0000","0.5640","0.0148","0.4498","0.0000","0.5501","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KNUQ11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KNSC11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KNRI11","0.0086","0.0027","0.0422","0.1233","0.0117","0.0320","0.2131","0.0872","0.0121","0.0487","0.0115","0.0353","0.3570","0.0141","0.3269","0.0000","0.6730","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KNRE11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KNIP11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KNHY11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KNHF11","0.0041","0.0025","0.0061","0.1237","0.0862","0.0007","0.0017","0.0561","0.0384","0.0709","0.0079","0.0323","0.5572","0.0116","0.4205","0.0008","0.4636","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KNCR11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KIVO11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KISU11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KFOF11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KFEN11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-11-22 00:00:00"
"KEVE11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KCRE11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"JSRE11","0.0229","0.0497","0.0079","0.0549","0.0359","0.0098","0.0750","0.0469","0.1197","0.0829","0.0396","0.0048","0.4190","0","0.2364","0.0000","0.7519","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"JSCR11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-11-22 00:00:00"
"JSAF11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"JPPC11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"JPPA11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"JFLL11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"JCIN11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-11-22 00:00:00"
"JCCJ11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"JBFO11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"JASC11","0.0150","0.0160","0.0130","0.0440","0.0240","0.0030","0.0080","0.0080","0.0460","0.0050","0.0550","0.0830","0.6810","0.0000","0.5820","0.0000","0.4180","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"ITRI11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-29 00:00:00","2025-11-22 00:00:00"
"ITIT11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"ITIP11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"ISCJ11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"IRIM11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"IRDM11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"INRD11","0.0130","0.0195","0.0369","0.0891","0.0652","0.1217","0.1434","0.1630","0.1695","0.1456","0.0326","0","0","0","0","0","1.0000","0","2025-07-02 00:00:00","2025-11-22 00:00:00"
"INLG11","0.0196","0.0471","0","0.0284","0.0718","0.1387","0.2028","0.1038","0.1455","0.0411","0.0391","0.0220","0.1395","0","0","0","1.0000","0","2024-12-02 00:00:00","2025-11-22 00:00:00"
"ICRI11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-29 00:00:00","2025-11-22 00:00:00"
"ICNE11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"IBFF11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"IBCR11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"IBBP11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-11-22 00:00:00"
"HYPI11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-11-22 00:00:00"
"HUSI11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"HUSC11","0","0","0","0","0","0","0","0","0","0","0","0","1.0000","0","0","0","1.0000","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"HUCG11","0","0","0","0","0","0","0","0","0","0","0","0","1.0000","0","0","0","1.0000","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"HTMX11","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"HSRE11","0.0000","0.0013","0.0000","0.0000","0.0000","0.0000","0.0365","0.8678","0.0000","0.0000","0.0166","0.0000","0.0776","0.0000","0.0705","0.0000","0.9280","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"HSML11","0.0126","0.0275","0.0162","0.0180","0.0420","0.0239","0.0138","0.0271","0.0324","0.0285","0.0566","0.0173","0.6636","0.0196","0","0.0378","0.3914","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"HSLG11","0.0000","0.0029","0.0048","0.0202","0.0298","0.0147","0.0000","0.0160","0.0089","0.0000","0.0000","0.2354","0.6641","0.0000","0.0999","0.0000","0.9001","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"HSAF11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"HRES11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-11-22 00:00:00"
"HREC11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"HRDF11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"HPDP11","0.0453","0.0631","0.0335","0.0322","0.0267","0.0738","0.0825","0.0294","0.0145","0.0317","0.0301","0.0248","0.3061","0.2056","0.0000","0.0108","0.5668","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"HOSI11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"HOMS11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-11-22 00:00:00"
"HOFC11","0.1501","0.0000","0.0000","0.0398","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0100","0.0000","0.7998","0.0000","0.0512","0.0000","0.9089","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"HLOG11","0.0000","0.0553","0.0283","0.0000","0.0282","0.0000","0.0000","0.4592","0.0000","0.0000","0.0000","0.0000","0.4287","0.0000","0.0000","0.0000","1.0000","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"HILG11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-11-22 00:00:00"
"HGRU11","0.0005","0.0030","0.0000","0.0000","0.0000","0.0000","0.0000","0.0006","0.0000","0.0016","0","0","0.9854","0.0085","0.0063","0.0000","0.9936","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
