"ticker","volatility_ratio","sharpe_ratio","treynor_ratio","jensen_alpha","beta_index","sortino_ratio","max_drawdown","r_squared","created_at","updated_at"
"LTMT11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-07-02 00:00:00","2025-11-22 00:00:00"
"ELDO11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-07-02 00:00:00","2025-11-22 00:00:00"
"LRDI11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-07-02 00:00:00","2025-11-22 00:00:00"
"LPLP11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-07-02 00:00:00","2025-11-22 00:00:00"
"LLAO11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-07-02 00:00:00","2025-11-22 00:00:00"
"LKDV11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-05-22 00:00:00","2025-11-22 00:00:00"
"LIFE11","3.0898","-1.2876","-0.0033","-0.001","0.420","-0.1158","0.2485","0.0185","2024-06-10 00:00:00","2025-11-22 00:00:00"
"LFTT11","10.6237","-0.7991","-0.0399","-0.003","0.074","-0.0611","0.8042","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"LASC11","2.5269","-1.8483","-0.0166","-0.002","0.096","-0.1425","0.3338","0.0014","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KORE11","2.9508","-2.3768","-0.0031","-0.002","0.773","-0.1928","0.4009","0.0686","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KNUQ11","1.3089","-1.5022","-0.0014","-0.001","0.470","-0.1368","0.1008","0.1287","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KNSC11","1.6579","-1.6456","-0.0016","-0.001","0.573","-0.1350","0.1766","0.1193","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KNRI11","1.8736","-1.2012","-0.0020","-0.001","0.378","-0.0915","0.1526","0.0408","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KNRE11","10.6929","-0.4756","-0.0034","-0.001","0.497","-0.0428","0.5908","0.0022","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KNIP11","1.3818","-2.0238","-0.0038","-0.001","0.255","-0.1978","0.1239","0.0339","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KNHY11","1.3115","-2.1169","-0.0029","-0.001","0.326","-0.1866","0.1321","0.0616","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KNHF11","2.0424","-0.5966","-0.0007","0.000","0.624","-0.0547","0.1827","0.0932","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KNCR11","1.1425","-1.5831","-0.0043","-0.001","0.146","-0.1306","0.0829","0.0162","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KIVO11","2.9098","-1.5348","-0.0020","-0.001","0.755","-0.1391","0.3236","0.0672","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KISU11","2.1284","-1.5799","-0.0024","-0.001","0.490","-0.1362","0.1876","0.0530","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KFOF11","1.9189","-0.8528","-0.0011","0.000","0.493","-0.0797","0.1878","0.0660","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KFEN11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-07-02 00:00:00","2025-11-22 00:00:00"
"KEVE11","5.7273","-1.6184","-0.0075","-0.003","0.428","-0.1332","0.3841","0.0056","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KCRE11","1.8968","-2.0206","-0.0024","-0.001","0.559","-0.1701","0.2275","0.0869","2024-05-22 00:00:00","2025-11-22 00:00:00"
"JSRE11","2.2647","-0.3555","-0.0008","0.000","0.346","-0.0315","0.1477","0.0234","2024-05-22 00:00:00","2025-11-22 00:00:00"
"JSCR11","4.3826","-2.2516","-0.0062","-0.002","0.321","-0.2027","0.2008","0.0054","2025-07-02 00:00:00","2025-11-22 00:00:00"
"JSAF11","2.7811","-1.6230","-0.0020","-0.001","0.763","-0.1471","0.3763","0.0753","2024-05-22 00:00:00","2025-11-22 00:00:00"
"JPPC11","15.6894","1.9635","0.0103","0.008","0.785","0.1937","0.2907","0.0025","2024-05-22 00:00:00","2025-11-22 00:00:00"
"JPPA11","1.7022","-1.4111","-0.0019","-0.001","0.426","-0.1311","0.1450","0.0626","2024-05-22 00:00:00","2025-11-22 00:00:00"
"JFLL11","2.2626","-0.8393","-0.0019","-0.001","0.351","-0.0633","0.1773","0.0241","2024-05-22 00:00:00","2025-11-22 00:00:00"
"JCIN11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-07-02 00:00:00","2025-11-22 00:00:00"
"JCCJ11","8.0919","0.0327",NULL,"0.000","-0.046","0.0027","0.1634","0.0000","2024-05-22 00:00:00","2025-11-22 00:00:00"
"JBFO11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-05-22 00:00:00","2025-11-22 00:00:00"
"JASC11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-05-22 00:00:00","2025-11-22 00:00:00"
"ITRI11","2.0897","-1.0623","-0.0018","-0.001","0.427","-0.0916","0.2497","0.0418","2024-05-29 00:00:00","2025-11-22 00:00:00"
"ITIT11","1.4691","-1.5764","-0.0023","-0.001","0.343","-0.1573","0.1204","0.0545","2024-05-22 00:00:00","2025-11-22 00:00:00"
"ITIP11","1.4925","-2.1234","-0.0030","-0.001","0.369","-0.1995","0.1808","0.0611","2024-05-22 00:00:00","2025-11-22 00:00:00"
"ISCJ11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2024-05-22 00:00:00","2025-11-22 00:00:00"
"IRIM11","2.2385","0.1101","0.0002","0.000","0.504","0.0102","0.1694","0.0507","2024-05-22 00:00:00","2025-11-22 00:00:00"
"IRDM11","1.8796","-1.1609","-0.0015","-0.001","0.499","-0.1020","0.1667","0.0705","2024-05-22 00:00:00","2025-11-22 00:00:00"
"INRD11","5.1855","0.1346","0.0003","0.000","0.369","0.0141","0.0811","0.0051","2025-07-02 00:00:00","2025-11-22 00:00:00"
