"ticker","dy_monthly_pct","dy_pct","sum_anual_dy_amt","last_dividend_amt","last_payment_date","market_cap_value","enterprise_value","price_book_ratio","equity_per_share","revenue_per_share","dividend_payout_pct","growth_rate","cap_rate","leverage_ratio","equity_value","variation_month_ratio","variation_year_ratio","equity_month_ratio","dividend_reserve_amt","admin_fee_due_amt","perf_fee_due_amt","total_cash_amt","expected_revenue_amt","liabilities_total_amt","created_at","updated_at"
"LTMT11","8.51","0.00","0.00","8.38","2024-10-21 00:00:00","12298563.00","11651922.75","0.7980","123.295","38.867","0.00","52.987","0.000","0.0089","15406960.00","0.0002","0.0283","0.0002","1.00","136933.20","0.00","783760.20","4856823.88","137119.95","2025-07-02 00:00:00","2025-11-22 00:00:00"
"ELDO11","0.00","0.00","32.39","9.00","2025-11-21 00:00:00","0.00","1672597.77","0.0000","0.000","11.261","0.00","2.829","0.000","0.0000","0.00","0.0061","0.0568","0.0001","113.00","75117.12","0.00","2932877.63","8865293.69","4605475.40","2025-07-02 00:00:00","2025-11-22 00:00:00"
"LRDI11","19.76","0.00","0.00","32.60","2025-11-27 00:00:00","61090260.00","59675280.05","2.0560","80.246","0.405","0.00","-17.469","0.000","0.0035","29710785.00","-0.0033","0.0727","-0.0015","100.00","55295.07","0.00","1519145.33","149957.57","104165.38","2025-07-02 00:00:00","2025-11-22 00:00:00"
"LPLP11","1.71","70.31","183.43","4.47","2025-11-17 00:00:00","172307066.00","196484071.80","0.9680","269.452","58.468","0.00","54.946","0.000","0.1370","177968810.00","0.3544","0.3678","0.3407","27.00","0.00","0.00","204863.62","38617180.53","24381869.42","2025-07-02 00:00:00","2025-11-22 00:00:00"
"LLAO11","12.78","0.00","0.00","7.31","2025-02-27 00:00:00","20657208.00","20582830.58","1.1070","51.660","3.349","0.00","-16.555","0.000","0.0014","18656588.00","-0.0046","-0.1422","-0.0046","78.00","12997.55","0","101364.52","1209512.90","26987.10","2025-07-02 00:00:00","2025-11-22 00:00:00"
"LKDV11",NULL,NULL,"0.00","0.00",NULL,"72284825.00","70950948.04","0.9900","1092.819","4.427","0.00","-0.826","0.000","0.0016","73012314.00","0.0009","0.0221","0.0005","101.00","82030.26","0.00","1448886.13","295746.13","115009.17","2024-05-22 00:00:00","2025-11-22 00:00:00"
"LIFE11","1.48","18.21","1.48","0.12","2025-11-07 00:00:00","322068830.00","343504651.64","0.8670","9.346","0.000","0.00","60.816","0.000","0.0650","371603202.00","0.0101","0.1115","-0.0020","18532.00","55669.77","0.00","3111238.50","10403.69","24149444.14","2024-06-10 00:00:00","2025-11-22 00:00:00"
"LFTT11","82.86","0.00","0.00","1.74","2025-07-28 00:00:00","4200000.00","3345510.08","0.1120","18.745","0.693","0.00","-51.493","0.000","0.0199","37490104.00","0.0000","0.0072","0.0000","8.00","0.00","0.00","1599242.07","1386287.39","744752.15","2024-05-22 00:00:00","2025-11-22 00:00:00"
"LASC11","0.70","12.17","12.02","0.69","2025-11-07 00:00:00","290530845.00","285866641.52","0.7260","136.178","0.039","0.00","2.787","0.000","0.0082","400404927.00","0.0049","-0.0062","0.0004","452.00","340833.68","0.00","5577896.79","113217.48","3295334.31","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KORE11","1.82","21.82","15.00","1.25","2025-11-14 00:00:00","661718750.00","953899732.00","0.6490","105.893","0.886","0.00","-0.074","0.000","0.3127","1019216225.00","0.0118","0.1169","0","28396.00","596500.82","0","19307882.01","8528454.05","318707614.01","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KNUQ11","1.21","14.69","15.20","1.25","2025-11-12 00:00:00","2222595319.00","2154981215.95","1.0200","101.377","0.001","0.00","41.184","0.000","0.0137","2178060075.00","0.0144","0.1317","0.0021","42418.00","2854186.72","0","101163814.35","12793.29","29897307.30","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KNSC11","1.04","13.21","1.14","0.09","2025-11-13 00:00:00","1745006583.00","1889314821.81","0.9850","8.762","0.024","0.00","-1.490","0.000","0.1148","1771742851.00","0.0108","0.1211","0.0006","235616.00","1934787.95","0","59149925.68","4912793.29","203458164.49","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KNRI11","0.68","8.13","12.00","1.00","2025-11-14 00:00:00","4164327540.00","4414194610.65","0.9040","163.254","6.295","0.00","1.050","0.000","0.0975","4604433676.00","0.0062","0.0769","0.0001","300924.00","4164918.82","0","165096575.73","177553022.17","448808503.38","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KNRE11","0.00","1.61","0.01","0.00","2025-07-14 00:00:00","5749620.00","1482145.24","0.4610","0.672","0.000","0.00","-21.650","0.000","0.0031","12470331.00","-0.0022","-0.0626","-0.0022","5788.00","22391.72","0","3935045.17","2443.02","38513.41","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KNIP11","0.71","12.25","10.66","0.62","2025-11-13 00:00:00","6967602964.00","7596376250.71","0.9490","91.686","0.023","0.00","-2.438","0.000","0.0918","7342020555.00","0.0096","0.1110","0.0028","71634.00","6673109.50","0","146752486.04","1807382.84","673826476.75","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KNHY11","1.02","14.60","14.33","1.00","2025-11-13 00:00:00","2765118807.00","2829725527.81","0.9310","105.388","0.010","0.00","8.911","0.000","0.0803","2968728347.00","0.0116","0.1254","0.0014","26040.00","4442920.63","0","172653796.38","276510.82","238387297.19","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KNHF11","1.09","12.44","11.45","1.00","2025-11-12 00:00:00","1809607517.00","2124356833.37","0.9240","99.638","0.213","0.00","1.471","0.000","0.2037","1959198829.00","0.0095","0.1362","-0.0004","51815.00","1920003.66","0","77868881.03","4195394.18","399107064.40","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KNCR11","1.26","13.32","14.07","1.33","2025-11-13 00:00:00","8079426854.00","7684938457.66","1.0380","101.716","0.000","0.00","29.934","0.000","0.0986","7782226582.00","0.0120","0.1224","0.0003","455519.00","7745202.06","0","1122065234.74","12793.29","767361894.40","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KIVO11","1.38","18.48","11.36","0.85","2025-11-14 00:00:00","136609355.00","106765567.66","0.7190","85.503","1.071","0.00","-3.151","0.000","0.0115","190049906.00","0.0114","0.1385","0.0015","6871.00","138452.26","0","32014211.75","2380401.78","2192652.41","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KISU11","1.04","12.37","0.83","0.07","2025-11-14 00:00:00","297881377.00","290788206.05","0.8490","7.935","0.000","0.00","0.714","0.000","0.0097","350704593.00","-0.0037","0.1498","-0.0122","104690.00","196722.13","0","12256051.89","10042.01","3395038.94","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KFOF11","0.98","11.24","9.15","0.80","2025-11-14 00:00:00","571196028.00","561415450.65","0.9250","87.996","0.002","0.00","2.454","0.000","0.0102","617251205.00","0.0033","0.1839","-0.0055","29735.00","469059.75","0","17860057.89","14595.28","6325839.54","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KFEN11","0.72","9.13","100.38","7.96","2025-11-12 00:00:00","196516100.00","198741792.25","1.1680","942.115","0.047","0.00","0.160","0.000","0.0446","168309735.00","0.0095","0.1220","0.0010","129.00","102307.51","0","5273970.81","8335.77","7499663.06","2025-07-02 00:00:00","2025-11-22 00:00:00"
"KEVE11","4.05","13.57","115.77","34.53","2025-07-15 00:00:00","124965483.00","105351104.97","1.4840","574.702","100.000","0.00","-6.663","0.000","0.0016","84191580.00","0.0311","0.2449","0.0311","436.00","116544.22","0","19751630.16","21174335.47","137252.13","2024-05-22 00:00:00","2025-11-22 00:00:00"
"KCRE11","0.95","14.42","1.21","0.08","2025-11-13 00:00:00","302040000.00","317055634.43","0.8910","9.418","0.000","0.00","-2.918","0.000","0.0811","339038078.00","0.0128","0.1281","0.0043","16022.00","334731.43","0","11038964.35","10064.05","27494598.78","2024-05-22 00:00:00","2025-11-22 00:00:00"
"JSRE11","0.72","8.66","5.76","0.48","2025-11-14 00:00:00","1381234985.00","1492338484.79","0.6520","101.976","0.662","0.00","-6.823","0.000","0.0690","2117761319.00","0.0054","0.0458","0.0007","85833.00","1118891.08","0.00","32550850.80","13752786.75","146146429.59","2024-05-22 00:00:00","2025-11-22 00:00:00"
"JSCR11","1.26","37.11","2.95","0.10","2025-11-14 00:00:00","175989945.00","169228285.71","0.8520","9.335","0.001","0.00","-2.397","0.000","0.0112","206643404.00","0.0112","0.0935","0.0010","3557.00","181390.09","0.00","8627540.41","13099.87","2308623.12","2025-07-02 00:00:00","2025-11-22 00:00:00"
"JSAF11","1.23","25.83","1.89","0.09","2025-11-14 00:00:00","568245716.00","548299941.43","0.8230","8.902","0.008","0.00","-4.211","0.000","0.0106","690136713.00","0.0159","0.1760","0.0064","23161.00","510550.62","0.00","28815214.17","608491.55","7318973.60","2024-05-22 00:00:00","2025-11-22 00:00:00"
"JPPC11","0.25","73.69","103.97","0.35","2025-10-14 00:00:00","7760500.00","4400347.76","1.6950","83.244","0.067","0.00","-88.066","0.000","0.0101","4578426.00","-0.2610","0.3110","-0.2652","492.00","13319.83","0.00","3406287.04","3702.47","46134.80","2024-05-22 00:00:00","2025-11-22 00:00:00"
