"ticker","traded_at","close_price","adj_close_price","open_price","max_price","min_price","daily_variation_pct","created_at","updated_at"
"ABCP11","2025-11-14 00:00:00","74.83","74.83","74.87","74.87","74.24","-0.05","2025-11-15 00:00:00","2025-11-15 00:00:00"
"ABCP11","2025-11-13 00:00:00","74.87","74.87","75.74","75.74","74.04","-1.15","2025-11-14 00:00:00","2025-11-14 00:00:00"
"ABCP11","2025-11-12 00:00:00","74.99","74.99","73.68","76.08","73.68","1.78","2025-11-13 00:00:00","2025-11-13 00:00:00"
"ABCP11","2025-11-11 00:00:00","74.00","74.00","74.25","75.00","73.66","-0.34","2025-11-12 00:00:00","2025-11-12 00:00:00"
"ABCP11","2025-11-10 00:00:00","74.25","74.25","75.21","75.21","74.20","-1.28","2025-11-11 00:00:00","2025-11-11 00:00:00"
"ABCP11","2025-11-07 00:00:00","74.48","74.48","76.38","76.38","74.27","-2.49","2025-11-08 00:00:00","2025-11-08 00:00:00"
"ABCP11","2025-11-06 00:00:00","74.27","74.27","74.89","76.49","73.86","-0.83","2025-11-07 00:00:00","2025-11-07 00:00:00"
"ABCP11","2025-11-05 00:00:00","74.89","74.89","73.30","76.47","73.30","2.17","2025-11-06 00:00:00","2025-11-06 00:00:00"
"ABCP11","2025-11-04 00:00:00","73.83","73.83","73.82","73.99","73.30","0.01","2025-11-05 00:00:00","2025-11-05 00:00:00"
"ABCP11","2025-11-03 00:00:00","73.82","73.82","73.58","76.87","72.93","0.33","2025-11-04 00:00:00","2025-11-04 00:00:00"
"ABCP11","2025-10-31 00:00:00","73.58","73.58","73.56","74.99","73.56","0.03","2025-11-01 00:00:00","2025-11-01 00:00:00"
"ABCP11","2025-10-30 00:00:00","73.56","73.56","74.92","74.92","73.19","-1.82","2025-10-31 00:00:00","2025-10-31 00:00:00"
"ABCP11","2025-10-29 00:00:00","74.92","74.92","74.74","74.97","73.11","0.24","2025-10-30 00:00:00","2025-10-30 00:00:00"
"ABCP11","2025-10-28 00:00:00","74.00","74.00","72.80","74.30","72.35","1.65","2025-10-29 00:00:00","2025-10-29 00:00:00"
"ABCP11","2025-10-27 00:00:00","73.76","73.76","73.08","74.69","73.08","0.93","2025-10-28 00:00:00","2025-10-28 00:00:00"
"ABCP11","2025-10-24 00:00:00","73.08","73.08","73.82","73.83","72.33","-1.00","2025-10-25 00:00:00","2025-10-25 00:00:00"
"ABCP11","2025-10-23 00:00:00","73.84","73.84","73.87","74.95","72.70","-0.04","2025-10-24 00:00:00","2025-10-24 00:00:00"
"ABCP11","2025-10-22 00:00:00","73.15","73.15","75.09","75.10","72.66","-2.58","2025-10-23 00:00:00","2025-10-23 00:00:00"
"ABCP11","2025-10-21 00:00:00","75.10","75.10","73.02","76.10","73.02","2.85","2025-10-22 00:00:00","2025-10-22 00:00:00"
"ABCP11","2025-10-20 00:00:00","74.33","74.33","76.50","76.50","73.01","-2.84","2025-10-21 00:00:00","2025-10-21 00:00:00"
"ABCP11","2025-10-17 00:00:00","76.50","76.50","76.32","76.50","76.06","0.24","2025-10-18 00:00:00","2025-10-18 00:00:00"
"ABCP11","2025-10-16 00:00:00","76.35","76.35","76.66","76.66","75.00","-0.40","2025-10-17 00:00:00","2025-10-17 00:00:00"
"ABCP11","2025-10-15 00:00:00","76.66","76.66","78.81","78.81","76.66","-2.73","2025-10-16 00:00:00","2025-10-16 00:00:00"
"ABCP11","2025-10-14 00:00:00","78.83","78.83","71.71","78.83","71.50","9.93","2025-10-15 00:00:00","2025-10-15 00:00:00"
"ABCP11","2025-10-13 00:00:00","71.71","71.71","72.74","72.74","71.52","-1.42","2025-10-14 00:00:00","2025-10-14 00:00:00"
"ABCP11","2025-10-10 00:00:00","72.75","72.75","71.37","73.75","71.00","1.93","2025-10-11 00:00:00","2025-10-11 00:00:00"
"ABCP11","2025-10-09 00:00:00","71.20","71.20","71.53","71.99","70.71","-0.46","2025-10-10 00:00:00","2025-10-10 00:00:00"
"ABCP11","2025-10-08 00:00:00","71.53","71.53","74.90","74.90","70.73","-4.50","2025-10-09 00:00:00","2025-10-09 00:00:00"
"ABCP11","2025-10-07 00:00:00","74.90","74.90","74.59","75.07","74.59","0.42","2025-10-08 00:00:00","2025-10-08 00:00:00"
"ABCP11","2025-10-06 00:00:00","74.60","74.60","74.60","74.97","74.17","0.00","2025-10-07 00:00:00","2025-10-07 00:00:00"
"ABCP11","2025-10-03 00:00:00","74.60","74.60","75.35","75.36","74.23","-1.00","2025-10-04 00:00:00","2025-10-04 00:00:00"
"ABCP11","2025-10-02 00:00:00","75.00","75.00","75.99","76.01","74.33","-1.30","2025-10-03 00:00:00","2025-10-03 00:00:00"
"ABCP11","2025-10-01 00:00:00","75.50","75.50","79.88","80.47","75.33","-5.48","2025-10-02 00:00:00","2025-10-02 00:00:00"
"ABCP11","2025-09-30 00:00:00","79.88","79.88","80.62","80.62","79.88","-0.92","2025-10-01 00:00:00","2025-10-01 00:00:00"
"ABCP11","2025-09-29 00:00:00","79.82","79.82","79.80","80.28","79.80","0.03","2025-09-30 00:00:00","2025-09-30 00:00:00"
"ABCP11","2025-09-26 00:00:00","79.77","79.77","79.21","80.14","79.21","0.71","2025-09-27 00:00:00","2025-09-27 00:00:00"
"ABCP11","2025-09-25 00:00:00","79.21","79.21","80.02","80.25","79.21","-1.01","2025-09-26 00:00:00","2025-09-26 00:00:00"
"ABCP11","2025-09-24 00:00:00","80.02","80.02","80.00","81.68","78.00","0.03","2025-09-25 00:00:00","2025-09-25 00:00:00"
"ABCP11","2025-09-23 00:00:00","80.00","80.00","79.90","80.52","79.60","0.13","2025-09-24 00:00:00","2025-09-24 00:00:00"
"ABCP11","2025-09-22 00:00:00","80.00","80.00","80.40","80.95","79.60","-0.50","2025-09-23 00:00:00","2025-09-23 00:00:00"
"ABCP11","2025-09-19 00:00:00","80.95","80.95","81.00","81.00","80.42","-0.06","2025-09-20 00:00:00","2025-09-20 00:00:00"
"ABCP11","2025-09-18 00:00:00","81.00","81.00","80.38","81.65","80.01","0.77","2025-09-19 00:00:00","2025-09-19 00:00:00"
