"ticker","asset_name","asset_class","asset_address","total_area","units_count","vacancy_ratio","non_compliant_ratio","assets_status","created_at","updated_at"
"ABCP11","Grand Plaza Shopping","Imóveis para renda acabados","Avenida Industrial, 600, Centro, Santo André - SP","69812.00","285","0.0131","0.0079","Ativo","2024-05-23 00:00:00","2025-11-22 00:00:00"
"AIEC11","Standard Building","Imóveis para venda acabados","Avenida Presidente Wilson, 118 - Centro - Rio de Janeiro - RJ","8341.00","1","0.0000","0.0000","Inativo","2025-01-19 00:00:00","2025-01-25 00:00:00"
"FATN11","Network","Imóveis para renda acabados","Avenida Doutor Cardoso de Melo, 1340","412.60","2","0.0000","0.0000","Ativo","2025-11-16 00:00:00","2025-11-22 00:00:00"
"AIEC11","Rochavera - Torre D","Imóveis para venda acabados","Avenida das Nações Unidas, 14.171 - Chucri Zaidan - São Paulo - SP","14648.00","1","0.0000","0.0000","Inativo","2024-05-23 00:00:00","2024-08-17 00:00:00"
"FATN11","Edifício Banco Mercantil do Brasil","Imóveis para renda acabados","Avenida Paulista, 925","215.71","1","0.0000","0.0000","Ativo","2024-07-29 00:00:00","2025-11-22 00:00:00"
"FATN11","Edificio Erika","Imóveis para renda acabados","Rua do Rocio, 351 - 8º andar - conj. 82","251.03","1","0.0000","0.0000","Ativo","2024-08-18 00:00:00","2025-11-22 00:00:00"
"FATN11","Luxor Center","Imóveis para renda acabados","Rua Arizona, nº 1349","143.28","1","0.0000","0.0000","Ativo","2025-11-02 00:00:00","2025-11-22 00:00:00"
"FATN11","Brasílio Machado","Imóveis para renda acabados","Av. Dr. Cardoso De Melo, 1855","384.81","1","1.0000","0.0000","Ativo","2025-08-18 00:00:00","2025-11-22 00:00:00"
"FATN11","Edifício Aeroporto I","Imóveis para renda acabados","Rua Funchal, 573","167.00","2","0.0000","0.0000","Ativo","2025-02-16 00:00:00","2025-11-22 00:00:00"
"AJFI11","N/A","Imóveis para venda em construção","N/A","0.00","0","0","0","Inativo","2025-11-09 00:00:00","2025-11-16 00:00:00"
"FATN11","Edifício Atrium I","Imóveis para renda acabados","Rua do Rócio, 220","260.20","1","0.0000","0.0000","Ativo","2024-05-23 00:00:00","2025-11-22 00:00:00"
"AJFI11","N/A","Imóveis para renda em construção","N/A","0.00","0","0","0","Inativo","2025-08-18 00:00:00","2025-11-02 00:00:00"
"AJFI11","Garten Shopping","Imóveis para renda acabados","Av. Rolf Wiest, n° 333 , Bom Retiro - 89223-005, Joinville - SC,","41969.33","260","0.0298","0.0008","Inativo","2025-02-02 00:00:00","2025-11-16 00:00:00"
"AJFI11","Norte Shopping","Imóveis para renda acabados","Rodovia BR-470, nº  3000, Salto Norte - 89065-800, Blumenau - SC","35324.50","260","0.0368","0.0037","Inativo","2025-05-04 00:00:00","2025-11-09 00:00:00"
"FATN11","Edifício Fortaleza","Imóveis para renda acabados","Av. Luiz Carlos Berrini, 1461","278.92","1","0.0000","0.0000","Ativo","2024-12-28 00:00:00","2025-11-22 00:00:00"
"ALZR11","Dasa - Sumare","Imóveis para renda acabados","Avenida Sumare, 1500, Sem Complemento, Perdizes, Sao Paulo/SP, Brasil, 05016-110","5227.43","1","0.0000","0.0000","Inativo","2025-01-12 00:00:00","2025-11-16 00:00:00"
"ALZR11","Decathlon - Morumbi","Imóveis para renda acabados","Avenida Duquesa De Goias, 381, Sem Complemento, Real Parque, Sao Paulo/SP, Brasil, 05686-001","28500.00","1","0.0000","0.0000","Inativo","2025-02-23 00:00:00","2025-11-02 00:00:00"
"FATN11","Edifício Av. Paulista","Imóveis para renda acabados","Av. Paulista, 2022","227.90","2","0.0000","0.0000","Ativo","2024-05-23 00:00:00","2025-11-22 00:00:00"
"FATN11","Edifício Harvard","Imóveis para renda acabados","Rua Iaiá, 150","228.56","1","0.0000","0.0000","Ativo","2024-05-23 00:00:00","2025-11-22 00:00:00"
"ALZR11","Galpão FEMSA","Imóveis para renda acabados","Avenida dos Estados, S/N, Vila Metalúrgica, na Cidade de Santo André, São Paulo, 09220-570","12753.00","1","0.0000","0.0000","Inativo","2025-01-19 00:00:00","2025-11-16 00:00:00"
"FAMB11","Edifício Almirante Barroso","Imóveis para renda acabados","Av. Rio Branco 174, , Rio de Janeiro, RJ, 20040-003","56429.46","12","0.3333","0.0000","Ativo","2024-06-10 00:00:00","2025-11-22 00:00:00"
"ALZR11","BRF - Guarulhos","Imóveis para renda acabados","Rua Barao De Penedo, 435, Sem Complemento, Cidade Industrial Satelite De Sao Paulo, Guarulhos/SP, Brasil, 07222-015","3459.00","1","0.0000","0.0000","Inativo","2024-05-23 00:00:00","2025-04-26 00:00:00"
"ALZR11","Femsa - Santo Andre","Imóveis para renda acabados","Avenida Dos Estados, S/n, Sem Complemento, Vila Metalurgica, Santo Andre/SP, Brasil, 09220-570","36740.00","1","0.0000","0.0000","Inativo","2025-03-09 00:00:00","2025-05-24 00:00:00"
"ALZR11","OBA Hortifruti - CD Sumare","Imóveis para renda acabados","Avenida Americo Ribeiro Dos Santos, 385, Sem Complemento, Parque Bandeirantes I (nova Veneza), Sumaré/SP, Brasil, 13181-715","33795.13","1","0.0000","0.0000","Inativo","2024-12-28 00:00:00","2025-10-05 00:00:00"
"ALZR11","Imóvel Dasa - Sumaré","Imóveis para renda acabados","Avenida Sumaré, 1500, Perdizes, Sao Paulo/SP, Brasil, 05016-110","5227.00","1","0.0000","0.0000","Inativo","2024-12-27 00:00:00","2025-02-22 00:00:00"
"FAMB11","Ed Almirante Barroso","Imóveis para renda acabados","Avenida Almirante Barroso, 174, 1º Subsolo Até 31º Andar, Centro, Rio De Janeiro/RJ, Brasil, 20031-004","59429.46","35","0.9801","0.1182","Ativo","2024-06-10 00:00:00","2025-11-22 00:00:00"
"ALZR11","BRF - Bauru","Imóveis para renda acabados","Avenida Nacoes Unidas, 51, 51 - 15, Jardim Godoy, Bauru/SP, Brasil, 17021-365","3627.00","1","0.0000","0.0000","Inativo","2025-08-10 00:00:00","2025-08-16 00:00:00"
"FAMB11","Edificio Almirante Barroso","Imóveis para renda acabados","Av. Rio Branco 174, Rio de Janeiro, RJ, 20040-003","56429.46","12","1.0000","0.0000","Ativo","2024-06-10 00:00:00","2025-11-22 00:00:00"
"FAED11","Anhanguera Educacional - Leme","Imóveis para renda acabados","Rua Waldemar Silenci, 340, Sem Complemento, Cidade Jardim, Leme/SP, Brasil, 13614-370","7184.93","1","0.0000","0.0000","Ativo","2024-05-23 00:00:00","2025-11-22 00:00:00"
"ALZR11","Imovel Globo - Jardim Botanico","Imóveis para renda acabados","Rua Pacheco Leao, 70, Sem Complemento, Jardim Botanico, Rio De Janeiro/RJ, Brasil, 22460-030","3815.52","1","0.0000","0.0000","Inativo","2025-07-13 00:00:00","2025-11-09 00:00:00"
"ALZR11","Atento - Del Castilho","Imóveis para renda acabados","Avenida Dom Helder Camara, 3.203, Sem Complemento, Del Castilho, Rio De Janeiro/RJ, Brasil, 21050-624","8178.00","1","0.0000","0.0000","Inativo","2025-01-19 00:00:00","2025-04-11 00:00:00"
"ALZR11","Ed. Moderna/Santillana - Belenzinho","Imóveis para renda acabados","Rua Padre Adelino, 758, Sem Complemento, Quarta Parada, Sao Paulo/SP, Brasil, 03303-000","9260.00","1","0.0000","0.0000","Inativo","2024-12-27 00:00:00","2025-03-29 00:00:00"
"FAED11","Anhanguera Educacional - Valinhos","Imóveis para renda acabados","Alameda Maria Tereza, 2000, Dois Córregos, Valinhos/SP, Brasil, 13278-181","12441.45","1","0.0000","0.0000","Ativo","2024-05-23 00:00:00","2025-11-22 00:00:00"
"FAED11","Unidade de Valinhos","Imóveis para renda acabados","Alameda Maria Tereza 2000, São Paulo, SP, 13278-181","12441.45","1","0.0000","0.0000","Ativo","2024-05-23 00:00:00","2025-11-22 00:00:00"
"FAED11","Anhanguera Educacional - Valinhos 2","Imóveis para renda acabados","Alameda Maria Tereza, 2000, Dois Córregos, Dois Córregos, Valinhos/SP, Brasil, 13278-181","7700.00","1","0.0000","0.0000","Ativo","2024-08-04 00:00:00","2025-11-22 00:00:00"
"FAED11","Unidade Leme","Imóveis para renda acabados","Rua Waldemar Silenci 340, , Leme, SP, 13614-370","7184.93","1","0.0000","0.0000","Ativo","2024-05-23 00:00:00","2025-11-22 00:00:00"
"FAED11","Anhanguera Educacional - Taboão da Serra","Imóveis para renda acabados","Rodovia Regis Bittencourt, 199, Centro, Taboão Da Serra/SP, Brasil, 06768-000","17922.80","1","0.0000","0.0000","Ativo","2024-05-23 00:00:00","2025-11-22 00:00:00"
"FAED11","Unidade de Taboao da Serra","Imóveis para renda acabados","Rodovia Regis Bittencourt 199, , São Paulo, SP, 06768-000","17922.80","1","0.0000","0.0000","Ativo","2024-05-23 00:00:00","2025-11-22 00:00:00"
"ALZR11","Assai - Bangu RJ","Imóveis para renda acabados","Avenida Brasil, 33809, Sem Complemento, Bangu, Rio De Janeiro/RJ, Brasil, 21852-002","34520.00","1","0.0000","0.0000","Inativo","2025-11-02 00:00:00","2025-11-09 00:00:00"
