"index_date","ibov_points_count","ibov_var_pct","ifix_points_count","ifix_var_pct","ifil_points_count","ifil_var_pct","created_at","updated_at"
"2025-11-17 00:00:00","157739","0.37","3617","0.71","1597","0.72","2025-11-16 00:00:00","2025-11-16 00:00:00"
"2025-11-14 00:00:00","157739","0.37","3617","0.71","1597","0.72","2025-11-15 00:00:00","2025-11-15 00:00:00"
"2025-11-13 00:00:00","157162","-0.30","3591","-0.17","1586","-0.18","2025-11-14 00:00:00","2025-11-14 00:00:00"
"2025-11-12 00:00:00","157633","-0.07","3597","0.12","1589","0.13","2025-11-13 00:00:00","2025-11-13 00:00:00"
"2025-11-11 00:00:00","157749","1.60","3593","-0.01","1587","-0.02","2025-11-12 00:00:00","2025-11-12 00:00:00"
"2025-11-10 00:00:00","154064","0.47","3597","0.11","1587","-0.09","2025-11-09 00:00:00","2025-11-09 00:00:00"
"2025-11-07 00:00:00","154064","0.47","3597","0.11","1588","0.12","2025-11-08 00:00:00","2025-11-08 00:00:00"
"2025-11-06 00:00:00","153339","0.03","3593","0.05","1586","0.06","2025-11-07 00:00:00","2025-11-07 00:00:00"
"2025-11-05 00:00:00","153294","1.72","3591","0.03","1585","0.02","2025-11-06 00:00:00","2025-11-06 00:00:00"
"2025-11-04 00:00:00","150704","0.17","3590","-0.05","1585","-0.07","2025-11-05 00:00:00","2025-11-05 00:00:00"
"2025-11-03 00:00:00","149540","0.51","3594","0.22","1586","-0.06","2025-11-02 00:00:00","2025-11-02 00:00:00"
"2025-10-31 00:00:00","149540","0.51","3594","0.22","1587","0.22","2025-11-01 00:00:00","2025-11-01 00:00:00"
"2025-10-30 00:00:00","148780","0.10","3586","-0.11","1584","-0.13","2025-10-31 00:00:00","2025-10-31 00:00:00"
"2025-10-29 00:00:00","148633","0.82","3590","0.15","1586","0.15","2025-10-30 00:00:00","2025-10-30 00:00:00"
"2025-10-28 00:00:00","147429","0.31","3584","0.04","1583","0.02","2025-10-29 00:00:00","2025-10-29 00:00:00"
"2025-10-27 00:00:00","146172","0.31","3579","0.30","1583","0.13","2025-10-26 00:00:00","2025-10-26 00:00:00"
"2025-10-24 00:00:00","146172","0.31","3579","0.30","1581","0.32","2025-10-25 00:00:00","2025-10-25 00:00:00"
"2025-10-23 00:00:00","145721","0.59","3568","0.00","1576","0.00","2025-10-24 00:00:00","2025-10-24 00:00:00"
"2025-10-22 00:00:00","144085","-0.29","3572","0.13","1576","-0.13","2025-10-22 00:00:00","2025-10-22 00:00:00"
"2025-10-20 00:00:00","143399","0.84","3578","-0.02","1575","-0.29","2025-10-19 00:00:00","2025-10-19 00:00:00"
"2025-10-17 00:00:00","143399","0.84","3578","-0.02","1580","-0.02","2025-10-18 00:00:00","2025-10-18 00:00:00"
"2025-10-16 00:00:00","142200","-0.28","3578","-0.22","1580","-0.24","2025-10-17 00:00:00","2025-10-17 00:00:00"
"2025-10-15 00:00:00","142604","0.65","3586","0.30","1584","0.32","2025-10-16 00:00:00","2025-10-16 00:00:00"
"2025-10-14 00:00:00","141683","-0.07","3575","0.15","1579","0.15","2025-10-15 00:00:00","2025-10-15 00:00:00"
"2025-10-13 00:00:00","140680","-0.73","3577","0.11","1577","-0.21","2025-10-13 00:00:00","2025-10-13 00:00:00"
"2025-10-10 00:00:00","140680","-0.73","3577","0.11","1580","0.10","2025-10-11 00:00:00","2025-10-11 00:00:00"
"2025-10-09 00:00:00","141708","-0.31","3573","-0.11","1578","-0.12","2025-10-10 00:00:00","2025-10-10 00:00:00"
"2025-10-08 00:00:00","142145","0.56","3577","0.05","1580","0.07","2025-10-09 00:00:00","2025-10-09 00:00:00"
"2025-10-07 00:00:00","141356","-1.57","3575","-0.20","1579","-0.20","2025-10-08 00:00:00","2025-10-08 00:00:00"
"2025-10-06 00:00:00","144201","0.17","3585","0.30","1582","-0.06","2025-10-05 00:00:00","2025-10-05 00:00:00"
"2025-10-03 00:00:00","143803","-0.10","3579","0.13","1583","0.32","2025-10-03 00:00:00","2025-10-03 00:00:00"
"2025-10-01 00:00:00","145517","-0.49","3573","-0.46","1577","-0.49","2025-10-02 00:00:00","2025-10-02 00:00:00"
"2025-09-30 00:00:00","146237","-0.07","3589","0.20","1585","0.20","2025-10-01 00:00:00","2025-10-01 00:00:00"
"2025-09-29 00:00:00","146337","0.61","3582","0.10","1582","0.09","2025-09-30 00:00:00","2025-09-30 00:00:00"
"2025-09-26 00:00:00","145447","0.10","3579","0.27","1580","0.22","2025-09-27 00:00:00","2025-09-27 00:00:00"
"2025-09-25 00:00:00","145306","-0.81","3569","0.13","1577","0.17","2025-09-26 00:00:00","2025-09-26 00:00:00"
"2025-09-24 00:00:00","146492","0.05","3564","0.03","1574","0.02","2025-09-25 00:00:00","2025-09-25 00:00:00"
"2025-09-23 00:00:00","146425","0.91","3563","0.14","1574","0.14","2025-09-24 00:00:00","2025-09-24 00:00:00"
