question,http_status,request_error,explain_enabled,status_status,status_raw,status_ok,status_reason,status_message,chosen_intent,chosen_entity,planner_score,gate_accepted,gate_source,gate_reason,gate_min_score,gate_min_gap,gate_gap,score_for_gate,intent_top2_gap_base,intent_top2_gap_final,intent_top1,intent_top2,scoring_mode,scoring_keys,rows_total,result_key,cache_hit,cache_hit_response,cache_hit_metrics,cache_layer,cache_ttl,cache_key,rag_used,fusion_used,elapsed_ms_server,elapsed_ms_total_est,elapsed_ms_client,narrator_used,narrator_latency_ms,narrator_error,answer_text,expected_intent,expected_entity,match_intent,match_entity,match_both,suite_name,suite_description,payload_id,idx,fail_reasons,case_pass
o FPAB11 já fez parte do IFIX?,200,,True,,"{'reason': 'ok', 'message': 'ok'}",True,ok,ok,fiis_registrations,fiis_registrations,1.6500000000000004,True,base,,1.0,0.2,4.4,1.6500000000000004,4.4,4.4,fiis_registrations,client_fiis_performance_vs_benchmark,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,1,cadastro_fii,False,False,,response,86400,araquem:dev-20251030:cfg-c6a33385:pub:fiis_registrations:plan:7976452b700b2cb36b12573220f3e67ea43878156526e06530b72822b6f8fb59,True,False,655,655.0,838.107,False,,,"**FPAB11 — Fundo Investimento Imobiliario Projeto Gua Branca**

- CNPJ do fundo: **03.251.720/0001-18**
- Nome de pregão (B3): **FII A Branca**
- Classificação / gestão: **Tijolo / Definida**
- Setor / Subsetor: **Lajes Corporativas / Escritórios**
- Público-alvo: **Investidores Em Geral**
- Fundo exclusivo: **Não**
- Código ISIN: **BRFPABCTF011**
- Data de IPO: **29/12/2023**
- Site oficial: **[Acessar site](https://www.btgpactual.com)**- Administrador: **Btg Pactual Servicos Financeiros S/A Dtvm**
- CNPJ do administrador: **59.281.253/0001-23**
- Custodiante: **Banco Btg Pactual S A**
- Peso no IFIX / IFIL: **0,00% / 0,00%**
- Nº de cotas / cotistas: **750.000 / 0**- Criado em: **22/05/2024 00:00**
- Atualizado em: **02/01/2026 00:00**",fiis_registrations,fiis_registrations,True,True,True,fiis_registrations,"Perguntas de cadastro estático dos FIIs (CNPJ, administrador, classificação, setor, público-alvo, ISIN, IPO, pesos em índices, cotas e cotistas).",,1,[],True
O HGLG11 é um fundo de gestão ativa ou passiva?,200,,True,,"{'reason': 'ok', 'message': 'ok'}",True,ok,ok,fiis_registrations,fiis_registrations,1.1,True,base,,1.0,0.2,1.1,1.1,0.0,0.0,fiis_registrations,ticker_query,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,1,cadastro_fii,False,False,,response,86400,araquem:dev-20251030:cfg-c6a33385:pub:fiis_registrations:plan:a922eb9a2e2c86b14ef13732352d33fbe6252c1faace80a6fad34597d993a010,True,False,278,278.0,450.021,False,,,"**HGLG11 — Pátria Log Fundo Investimento Imobiliário Responsabilidade Ltda**

- CNPJ do fundo: **11.728.688/0001-47**
- Nome de pregão (B3): **FII HGLG Pax**
- Classificação / gestão: **Tijolo / Ativa**
- Setor / Subsetor: **Imóveis Industriais e Logísticos / Multicategoria**
- Público-alvo: **Investidores Em Geral**
- Fundo exclusivo: **Não**
- Código ISIN: **BRHGLGCTF004**
- Data de IPO: **03/05/2010**
- Site oficial: **[Acessar site](https://www.bancogenial.com/)**- Administrador: **Banco Genial S.A.**
- CNPJ do administrador: **45.246.410/0001-55**
- Custodiante: **Banco Genial S.A.**
- Peso no IFIX / IFIL: **3,71% / 4,21%**
- Nº de cotas / cotistas: **42.404.675 / 40.600.112,01**- Criado em: **22/05/2024 00:00**
- Atualizado em: **02/01/2026 00:00**",fiis_registrations,fiis_registrations,True,True,True,fiis_registrations,"Perguntas de cadastro estático dos FIIs (CNPJ, administrador, classificação, setor, público-alvo, ISIN, IPO, pesos em índices, cotas e cotistas).",,2,[],True
peso do MCCI11 no IFIX,200,,True,,"{'reason': 'ok', 'message': 'ok'}",True,ok,ok,fiis_rankings,fiis_rankings,1.6500000000000004,True,base,,1.0,0.2,2.2,1.6500000000000004,2.2,2.2,fiis_rankings,client_fiis_positions,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,1,rankings_fii,False,False,,response,86400,araquem:dev-20251030:cfg-c6a33385:pub:fiis_rankings:plan:6c94c2e75fc4c4a2d2a3b33edef0fea4e73af5aa0cacf136d66caa7a2e659866,True,False,296,296.0,403.381,False,,,"| Código | Ranking usuários | Mov. usuários | Ranking Sírios | Mov. Sírios | Ranking IFIX | Mov. IFIX | Ranking IFIL | Mov. IFIL | Rank DY 12m | Rank DY mensal | Rank dividendos 12m | Rank valor de mercado | Rank patrimônio líquido | Rank Sharpe | Rank Sortino | Rank menor volatilidade | Rank menor drawdown | Criado em | Atualizado em |
| --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | --- | --- |
| MCCI11 | 0 | 0 | 0 | 0 | 28 | 0 | 28 | 0 | 154 | 161 | 98 | 33 | 40 | 109 | 115 | 84 | 126 | 22/05/2024 00:00 | 02/01/2026 00:00 |",fiis_rankings,fiis_rankings,True,True,True,fiis_registrations,"Perguntas de cadastro estático dos FIIs (CNPJ, administrador, classificação, setor, público-alvo, ISIN, IPO, pesos em índices, cotas e cotistas).",,3,[],True
Qual foi a data do IPO do ALMI11?,200,,True,,"{'reason': 'ok', 'message': 'ok'}",True,ok,ok,fiis_registrations,fiis_registrations,4.4,True,base,,1.0,0.2,4.4,4.4,3.3000000000000003,3.3000000000000003,fiis_registrations,ticker_query,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,1,cadastro_fii,False,False,,response,86400,araquem:dev-20251030:cfg-c6a33385:pub:fiis_registrations:plan:767fd789d1b68c49f232bc1031ded359d4a7e8ac799d80ffd647cdc62dc31636,True,False,393,393.0,554.54,False,,,"**ALMI11 — Fundo Investimento Imobiliario FII Torre Almirante**

- CNPJ do fundo: **07.122.725/0001-00**
- Nome de pregão (B3): **FII Torre Al**
- Classificação / gestão: **Tijolo / Definida**
- Setor / Subsetor: **Lajes Corporativas / Escritórios**
- Público-alvo: **Investidores Em Geral**
- Fundo exclusivo: **Não**
- Código ISIN: **BRALMICTF003**
- Data de IPO: **19/11/2004**
- Site oficial: **[Acessar site](https://www.btgpactual.com)**- Administrador: **Btg Pactual Servicos Financeiros S/A Dtvm**
- CNPJ do administrador: **59.281.253/0001-23**
- Custodiante: **Banco Btg Pactual S A**
- Peso no IFIX / IFIL: **0,00% / 0,00%**
- Nº de cotas / cotistas: **111.177 / 0**- Criado em: **22/05/2024 00:00**
- Atualizado em: **02/01/2026 00:00**",fiis_registrations,fiis_registrations,True,True,True,fiis_registrations,"Perguntas de cadastro estático dos FIIs (CNPJ, administrador, classificação, setor, público-alvo, ISIN, IPO, pesos em índices, cotas e cotistas).",,4,[],True
Qual o CNPJ do HGLG11?,200,,True,,"{'reason': 'ok', 'message': 'ok'}",True,ok,ok,fiis_registrations,fiis_registrations,10.999999999999998,True,base,,1.0,0.2,10.999999999999998,10.999999999999998,9.899999999999999,9.899999999999999,fiis_registrations,ticker_query,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,1,cadastro_fii,True,True,,response,86400,araquem:dev-20251030:cfg-c6a33385:pub:fiis_registrations:plan:a922eb9a2e2c86b14ef13732352d33fbe6252c1faace80a6fad34597d993a010,True,False,214,214.0,326.054,False,,,"**HGLG11 — Pátria Log Fundo Investimento Imobiliário Responsabilidade Ltda**

- CNPJ do fundo: **11.728.688/0001-47**
- Nome de pregão (B3): **FII HGLG Pax**
- Classificação / gestão: **Tijolo / Ativa**
- Setor / Subsetor: **Imóveis Industriais e Logísticos / Multicategoria**
- Público-alvo: **Investidores Em Geral**
- Fundo exclusivo: **Não**
- Código ISIN: **BRHGLGCTF004**
- Data de IPO: **03/05/2010**
- Site oficial: **[Acessar site](https://www.bancogenial.com/)**- Administrador: **Banco Genial S.A.**
- CNPJ do administrador: **45.246.410/0001-55**
- Custodiante: **Banco Genial S.A.**
- Peso no IFIX / IFIL: **3,71% / 4,21%**
- Nº de cotas / cotistas: **42.404.675 / 40.600.112,01**- Criado em: **22/05/2024 00:00**
- Atualizado em: **02/01/2026 00:00**",fiis_registrations,fiis_registrations,True,True,True,fiis_registrations,"Perguntas de cadastro estático dos FIIs (CNPJ, administrador, classificação, setor, público-alvo, ISIN, IPO, pesos em índices, cotas e cotistas).",,5,[],True
Qual é a classificação oficial do XPLG11?,200,,True,,"{'reason': 'ok', 'message': 'ok'}",True,ok,ok,fiis_registrations,fiis_registrations,2.2,True,base,,1.0,0.2,1.1,2.2,1.1,1.1,fiis_registrations,fiis_rankings,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,1,cadastro_fii,False,False,,response,86400,araquem:dev-20251030:cfg-c6a33385:pub:fiis_registrations:plan:17149d46f5983ab54f422d50df8f0050293b9fe7b146404adff5830484efdcaf,True,False,283,283.0,342.816,False,,,"**XPLG11 — XP Log Fundo Investimento Imobiliario FII**

- CNPJ do fundo: **26.502.794/0001-85**
- Nome de pregão (B3): **FII XP Log**
- Classificação / gestão: **Tijolo / Ativa**
- Setor / Subsetor: **Imóveis Industriais e Logísticos / Logística**
- Público-alvo: **Investidores Em Geral**
- Fundo exclusivo: **Não**
- Código ISIN: **BRXPLGCTF002**
- Data de IPO: **01/06/2018**
- Site oficial: **[Acessar site](https://www.vortx.com.br)**- Administrador: **Vórtx Dtvm Ltda**
- CNPJ do administrador: **22.610.500/0001-88**
- Custodiante: **Vortx Distribuidora De Titulos E Valores Mobiliarios Ltda**
- Peso no IFIX / IFIL: **2,30% / 2,61%**
- Nº de cotas / cotistas: **31.175.931 / 26.497.349,97**- Criado em: **22/05/2024 00:00**
- Atualizado em: **02/01/2026 00:00**",fiis_registrations,fiis_registrations,True,True,True,fiis_registrations,"Perguntas de cadastro estático dos FIIs (CNPJ, administrador, classificação, setor, público-alvo, ISIN, IPO, pesos em índices, cotas e cotistas).",,6,[],True
Qual é o administrador e o CNPJ do administrador do HGLG11?,200,,True,,"{'reason': 'ok', 'message': 'ok'}",True,ok,ok,fiis_registrations,fiis_registrations,28.599999999999998,True,base,,1.0,0.2,28.599999999999998,28.599999999999998,27.499999999999996,27.499999999999996,fiis_registrations,ticker_query,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,1,cadastro_fii,True,True,,response,86400,araquem:dev-20251030:cfg-c6a33385:pub:fiis_registrations:plan:a922eb9a2e2c86b14ef13732352d33fbe6252c1faace80a6fad34597d993a010,True,False,186,186.0,309.426,False,,,"**HGLG11 — Pátria Log Fundo Investimento Imobiliário Responsabilidade Ltda**

- CNPJ do fundo: **11.728.688/0001-47**
- Nome de pregão (B3): **FII HGLG Pax**
- Classificação / gestão: **Tijolo / Ativa**
- Setor / Subsetor: **Imóveis Industriais e Logísticos / Multicategoria**
- Público-alvo: **Investidores Em Geral**
- Fundo exclusivo: **Não**
- Código ISIN: **BRHGLGCTF004**
- Data de IPO: **03/05/2010**
- Site oficial: **[Acessar site](https://www.bancogenial.com/)**- Administrador: **Banco Genial S.A.**
- CNPJ do administrador: **45.246.410/0001-55**
- Custodiante: **Banco Genial S.A.**
- Peso no IFIX / IFIL: **3,71% / 4,21%**
- Nº de cotas / cotistas: **42.404.675 / 40.600.112,01**- Criado em: **22/05/2024 00:00**
- Atualizado em: **02/01/2026 00:00**",fiis_registrations,fiis_registrations,True,True,True,fiis_registrations,"Perguntas de cadastro estático dos FIIs (CNPJ, administrador, classificação, setor, público-alvo, ISIN, IPO, pesos em índices, cotas e cotistas).",,7,[],True
Qual é o código ISIN do HGLG11?,200,,True,,"{'reason': 'ok', 'message': 'ok'}",True,ok,ok,fiis_registrations,fiis_registrations,4.4,True,base,,1.0,0.2,4.4,4.4,3.3000000000000003,3.3000000000000003,fiis_registrations,ticker_query,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,1,cadastro_fii,True,True,,response,86400,araquem:dev-20251030:cfg-c6a33385:pub:fiis_registrations:plan:a922eb9a2e2c86b14ef13732352d33fbe6252c1faace80a6fad34597d993a010,True,False,192,192.0,349.681,False,,,"**HGLG11 — Pátria Log Fundo Investimento Imobiliário Responsabilidade Ltda**

- CNPJ do fundo: **11.728.688/0001-47**
- Nome de pregão (B3): **FII HGLG Pax**
- Classificação / gestão: **Tijolo / Ativa**
- Setor / Subsetor: **Imóveis Industriais e Logísticos / Multicategoria**
- Público-alvo: **Investidores Em Geral**
- Fundo exclusivo: **Não**
- Código ISIN: **BRHGLGCTF004**
- Data de IPO: **03/05/2010**
- Site oficial: **[Acessar site](https://www.bancogenial.com/)**- Administrador: **Banco Genial S.A.**
- CNPJ do administrador: **45.246.410/0001-55**
- Custodiante: **Banco Genial S.A.**
- Peso no IFIX / IFIL: **3,71% / 4,21%**
- Nº de cotas / cotistas: **42.404.675 / 40.600.112,01**- Criado em: **22/05/2024 00:00**
- Atualizado em: **02/01/2026 00:00**",fiis_registrations,fiis_registrations,True,True,True,fiis_registrations,"Perguntas de cadastro estático dos FIIs (CNPJ, administrador, classificação, setor, público-alvo, ISIN, IPO, pesos em índices, cotas e cotistas).",,8,[],True
Qual é o nome de exibição do fundo ALMI11?,200,,True,,"{'reason': 'ok', 'message': 'ok'}",True,ok,ok,fiis_registrations,fiis_registrations,8.8,True,base,,1.0,0.2,4.4,8.8,4.4,4.4,fiis_registrations,fiis_overview,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,1,cadastro_fii,True,True,,response,86400,araquem:dev-20251030:cfg-c6a33385:pub:fiis_registrations:plan:767fd789d1b68c49f232bc1031ded359d4a7e8ac799d80ffd647cdc62dc31636,True,False,151,151.0,259.354,False,,,"**ALMI11 — Fundo Investimento Imobiliario FII Torre Almirante**

- CNPJ do fundo: **07.122.725/0001-00**
- Nome de pregão (B3): **FII Torre Al**
- Classificação / gestão: **Tijolo / Definida**
- Setor / Subsetor: **Lajes Corporativas / Escritórios**
- Público-alvo: **Investidores Em Geral**
- Fundo exclusivo: **Não**
- Código ISIN: **BRALMICTF003**
- Data de IPO: **19/11/2004**
- Site oficial: **[Acessar site](https://www.btgpactual.com)**- Administrador: **Btg Pactual Servicos Financeiros S/A Dtvm**
- CNPJ do administrador: **59.281.253/0001-23**
- Custodiante: **Banco Btg Pactual S A**
- Peso no IFIX / IFIL: **0,00% / 0,00%**
- Nº de cotas / cotistas: **111.177 / 0**- Criado em: **22/05/2024 00:00**
- Atualizado em: **02/01/2026 00:00**",fiis_registrations,fiis_registrations,True,True,True,fiis_registrations,"Perguntas de cadastro estático dos FIIs (CNPJ, administrador, classificação, setor, público-alvo, ISIN, IPO, pesos em índices, cotas e cotistas).",,9,[],True
Qual é o nome de pregão do HGLG11 na B3?,200,,True,,"{'reason': 'ok', 'message': 'ok'}",True,ok,ok,fiis_registrations,fiis_registrations,7.699999999999999,True,base,,1.0,0.2,6.6,7.699999999999999,6.6,6.6,fiis_registrations,fiis_precos,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,1,cadastro_fii,True,True,,response,86400,araquem:dev-20251030:cfg-c6a33385:pub:fiis_registrations:plan:a922eb9a2e2c86b14ef13732352d33fbe6252c1faace80a6fad34597d993a010,True,False,187,187.0,317.781,False,,,"**HGLG11 — Pátria Log Fundo Investimento Imobiliário Responsabilidade Ltda**

- CNPJ do fundo: **11.728.688/0001-47**
- Nome de pregão (B3): **FII HGLG Pax**
- Classificação / gestão: **Tijolo / Ativa**
- Setor / Subsetor: **Imóveis Industriais e Logísticos / Multicategoria**
- Público-alvo: **Investidores Em Geral**
- Fundo exclusivo: **Não**
- Código ISIN: **BRHGLGCTF004**
- Data de IPO: **03/05/2010**
- Site oficial: **[Acessar site](https://www.bancogenial.com/)**- Administrador: **Banco Genial S.A.**
- CNPJ do administrador: **45.246.410/0001-55**
- Custodiante: **Banco Genial S.A.**
- Peso no IFIX / IFIL: **3,71% / 4,21%**
- Nº de cotas / cotistas: **42.404.675 / 40.600.112,01**- Criado em: **22/05/2024 00:00**
- Atualizado em: **02/01/2026 00:00**",fiis_registrations,fiis_registrations,True,True,True,fiis_registrations,"Perguntas de cadastro estático dos FIIs (CNPJ, administrador, classificação, setor, público-alvo, ISIN, IPO, pesos em índices, cotas e cotistas).",,10,[],True
