question,http_status,request_error,explain_enabled,status_status,status_raw,status_ok,status_reason,status_message,chosen_intent,chosen_entity,chosen_accepted,planner_score,gate_accepted,gate_source,gate_reason,gate_min_score,gate_min_gap,gate_gap,score_for_gate,intent_top2_gap_base,intent_top2_gap_final,intent_top1,intent_top2,scoring_mode,scoring_keys,rows_total,result_key,cache_hit,cache_hit_response,cache_hit_metrics,cache_layer,cache_ttl,cache_key,rag_used,fusion_used,elapsed_ms_server,elapsed_ms_total_est,elapsed_ms_client,narrator_used,narrator_latency_ms,narrator_error,answer_text,expected_intent,expected_entity,match_intent,match_entity,match_both,suite_name,suite_description,payload_id,idx,fail_reasons,case_pass,suite_status,suite_error
Evolução dos dividendos da minha carteira de FIIs,200,,True,,"{'reason': 'ok', 'message': 'ok'}",True,ok,ok,client_fiis_dividends_evolution,client_fiis_dividends_evolution,True,4.950000000000001,True,base,,0.8,0.1,1.1000000000000014,4.950000000000001,1.1000000000000014,1.1000000000000014,client_fiis_dividends_evolution,client_fiis_enriched_portfolio,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,52,dividends_evolution,False,False,,response,,,True,False,626,626.0,723.425,False,,,"**Evolução de dividendos da carteira do cliente**

- Último valor (-/2.025):
  **R$ 585,80**

| Mês | Ano | Dividendos (R$) |
| --- | --- | ---: || - | 2.025 | R$ 585,80 || - | 2.025 | R$ 765,00 || - | 2.025 | R$ 1.064,60 || - | 2.025 | R$ 1.239,60 || - | 2.025 | R$ 1.458,87 || - | 2.025 | R$ 414,00 || - | 2.025 | R$ 279,80 || - | 2.025 | R$ 275,80 || - | 2.025 | R$ 286,60 || - | 2.025 | R$ 288,20 || - | 2.025 | R$ 407,40 || - | 2.024 | R$ 1.979,09 || - | 2.024 | R$ 1.006,00 || - | 2.024 | R$ 1.203,00 || - | 2.024 | R$ 1.564,00 || - | 2.024 | R$ 2.014,74 || - | 2.024 | R$ 1.567,50 || - | 2.024 | R$ 1.864,50 || - | 2.024 | R$ 2.102,12 || - | 2.024 | R$ 2.073,59 || - | 2.024 | R$ 2.775,75 || - | 2.024 | R$ 2.443,10 || - | 2.024 | R$ 2.298,33 || - | 2.023 | R$ 4.497,47 || - | 2.023 | R$ 1.960,00 || - | 2.023 | R$ 1.850,00 || - | 2.023 | R$ 1.890,00 || - | 2.023 | R$ 1.512,00 || - | 2.023 | R$ 3.402,76 || - | 2.023 | R$ 3.914,97 || - | 2.023 | R$ 4.953,08 || - | 2.023 | R$ 4.801,63 || - | 2.023 | R$ 4.783,01 || - | 2.023 | R$ 2.935,70 || - | 2.023 | R$ 1.875,60 || - | 2.022 | R$ 1.899,40 || - | 2.022 | R$ 1.870,00 || - | 2.022 | R$ 2.430,00 || - | 2.022 | R$ 3.030,00 || - | 2.022 | R$ 3.129,60 || - | 2.022 | R$ 2.914,60 || - | 2.022 | R$ 2.721,60 || - | 2.022 | R$ 2.107,40 || - | 2.022 | R$ 902,00 || - | 2.022 | R$ 541,15 || - | 2.022 | R$ 1.301,33 || - | 2.022 | R$ 1.775,45 || - | 2.021 | R$ 10,27 || - | 2.021 | R$ 1.421,76 || - | 2.021 | R$ 37,91 || - | 2.021 | R$ 36,17 || - | 2.020 | R$ 6,50 |",client_fiis_dividends_evolution,client_fiis_dividends_evolution,True,True,True,client_fiis_dividends_evolution,Suíte de testes para client_fiis_dividends_evolution — evolução mensal de dividendos da carteira do cliente,,1,[],True,PASS,
Histórico de dividendos da minha carteira,200,,True,,"{'reason': 'ok', 'message': 'ok'}",True,ok,ok,client_fiis_dividends_evolution,client_fiis_dividends_evolution,True,6.050000000000001,True,base,,0.8,0.1,4.4,6.050000000000001,4.4,4.4,client_fiis_dividends_evolution,client_fiis_enriched_portfolio,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,52,dividends_evolution,False,False,,response,,,True,False,215,215.0,316.163,False,,,"**Evolução de dividendos da carteira do cliente**

- Último valor (-/2.025):
  **R$ 585,80**

| Mês | Ano | Dividendos (R$) |
| --- | --- | ---: || - | 2.025 | R$ 585,80 || - | 2.025 | R$ 765,00 || - | 2.025 | R$ 1.064,60 || - | 2.025 | R$ 1.239,60 || - | 2.025 | R$ 1.458,87 || - | 2.025 | R$ 414,00 || - | 2.025 | R$ 279,80 || - | 2.025 | R$ 275,80 || - | 2.025 | R$ 286,60 || - | 2.025 | R$ 288,20 || - | 2.025 | R$ 407,40 || - | 2.024 | R$ 1.979,09 || - | 2.024 | R$ 1.006,00 || - | 2.024 | R$ 1.203,00 || - | 2.024 | R$ 1.564,00 || - | 2.024 | R$ 2.014,74 || - | 2.024 | R$ 1.567,50 || - | 2.024 | R$ 1.864,50 || - | 2.024 | R$ 2.102,12 || - | 2.024 | R$ 2.073,59 || - | 2.024 | R$ 2.775,75 || - | 2.024 | R$ 2.443,10 || - | 2.024 | R$ 2.298,33 || - | 2.023 | R$ 4.497,47 || - | 2.023 | R$ 1.960,00 || - | 2.023 | R$ 1.850,00 || - | 2.023 | R$ 1.890,00 || - | 2.023 | R$ 1.512,00 || - | 2.023 | R$ 3.402,76 || - | 2.023 | R$ 3.914,97 || - | 2.023 | R$ 4.953,08 || - | 2.023 | R$ 4.801,63 || - | 2.023 | R$ 4.783,01 || - | 2.023 | R$ 2.935,70 || - | 2.023 | R$ 1.875,60 || - | 2.022 | R$ 1.899,40 || - | 2.022 | R$ 1.870,00 || - | 2.022 | R$ 2.430,00 || - | 2.022 | R$ 3.030,00 || - | 2.022 | R$ 3.129,60 || - | 2.022 | R$ 2.914,60 || - | 2.022 | R$ 2.721,60 || - | 2.022 | R$ 2.107,40 || - | 2.022 | R$ 902,00 || - | 2.022 | R$ 541,15 || - | 2.022 | R$ 1.301,33 || - | 2.022 | R$ 1.775,45 || - | 2.021 | R$ 10,27 || - | 2.021 | R$ 1.421,76 || - | 2.021 | R$ 37,91 || - | 2.021 | R$ 36,17 || - | 2.020 | R$ 6,50 |",client_fiis_dividends_evolution,client_fiis_dividends_evolution,True,True,True,client_fiis_dividends_evolution,Suíte de testes para client_fiis_dividends_evolution — evolução mensal de dividendos da carteira do cliente,,2,[],True,PASS,
Minha renda mensal com FIIs está crescendo,200,,True,,"{'reason': 'ok', 'message': 'ok'}",True,ok,ok,client_fiis_dividends_evolution,client_fiis_dividends_evolution,True,3.3,True,base,,0.8,0.1,5.5,3.3,5.5,5.5,client_fiis_dividends_evolution,client_fiis_enriched_portfolio,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,52,dividends_evolution,False,False,,response,,,True,False,249,249.0,465.763,False,,,"**Evolução de dividendos da carteira do cliente**

- Último valor (-/2.025):
  **R$ 585,80**

| Mês | Ano | Dividendos (R$) |
| --- | --- | ---: || - | 2.025 | R$ 585,80 || - | 2.025 | R$ 765,00 || - | 2.025 | R$ 1.064,60 || - | 2.025 | R$ 1.239,60 || - | 2.025 | R$ 1.458,87 || - | 2.025 | R$ 414,00 || - | 2.025 | R$ 279,80 || - | 2.025 | R$ 275,80 || - | 2.025 | R$ 286,60 || - | 2.025 | R$ 288,20 || - | 2.025 | R$ 407,40 || - | 2.024 | R$ 1.979,09 || - | 2.024 | R$ 1.006,00 || - | 2.024 | R$ 1.203,00 || - | 2.024 | R$ 1.564,00 || - | 2.024 | R$ 2.014,74 || - | 2.024 | R$ 1.567,50 || - | 2.024 | R$ 1.864,50 || - | 2.024 | R$ 2.102,12 || - | 2.024 | R$ 2.073,59 || - | 2.024 | R$ 2.775,75 || - | 2.024 | R$ 2.443,10 || - | 2.024 | R$ 2.298,33 || - | 2.023 | R$ 4.497,47 || - | 2.023 | R$ 1.960,00 || - | 2.023 | R$ 1.850,00 || - | 2.023 | R$ 1.890,00 || - | 2.023 | R$ 1.512,00 || - | 2.023 | R$ 3.402,76 || - | 2.023 | R$ 3.914,97 || - | 2.023 | R$ 4.953,08 || - | 2.023 | R$ 4.801,63 || - | 2.023 | R$ 4.783,01 || - | 2.023 | R$ 2.935,70 || - | 2.023 | R$ 1.875,60 || - | 2.022 | R$ 1.899,40 || - | 2.022 | R$ 1.870,00 || - | 2.022 | R$ 2.430,00 || - | 2.022 | R$ 3.030,00 || - | 2.022 | R$ 3.129,60 || - | 2.022 | R$ 2.914,60 || - | 2.022 | R$ 2.721,60 || - | 2.022 | R$ 2.107,40 || - | 2.022 | R$ 902,00 || - | 2.022 | R$ 541,15 || - | 2.022 | R$ 1.301,33 || - | 2.022 | R$ 1.775,45 || - | 2.021 | R$ 10,27 || - | 2.021 | R$ 1.421,76 || - | 2.021 | R$ 37,91 || - | 2.021 | R$ 36,17 || - | 2.020 | R$ 6,50 |",client_fiis_dividends_evolution,client_fiis_dividends_evolution,True,True,True,client_fiis_dividends_evolution,Suíte de testes para client_fiis_dividends_evolution — evolução mensal de dividendos da carteira do cliente,,3,[],True,PASS,
Quanto minha carteira de FIIs recebeu de dividendos em cada mês,200,,True,,"{'reason': 'ok', 'message': 'ok'}",True,ok,ok,client_fiis_dividends_evolution,client_fiis_dividends_evolution,True,4.4,True,base,,0.8,0.1,3.3000000000000007,4.4,3.3000000000000007,3.3000000000000007,client_fiis_dividends_evolution,client_fiis_enriched_portfolio,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,52,dividends_evolution,False,False,,response,,,True,False,183,183.0,297.717,False,,,"**Evolução de dividendos da carteira do cliente**

- Último valor (-/2.025):
  **R$ 585,80**

| Mês | Ano | Dividendos (R$) |
| --- | --- | ---: || - | 2.025 | R$ 585,80 || - | 2.025 | R$ 765,00 || - | 2.025 | R$ 1.064,60 || - | 2.025 | R$ 1.239,60 || - | 2.025 | R$ 1.458,87 || - | 2.025 | R$ 414,00 || - | 2.025 | R$ 279,80 || - | 2.025 | R$ 275,80 || - | 2.025 | R$ 286,60 || - | 2.025 | R$ 288,20 || - | 2.025 | R$ 407,40 || - | 2.024 | R$ 1.979,09 || - | 2.024 | R$ 1.006,00 || - | 2.024 | R$ 1.203,00 || - | 2.024 | R$ 1.564,00 || - | 2.024 | R$ 2.014,74 || - | 2.024 | R$ 1.567,50 || - | 2.024 | R$ 1.864,50 || - | 2.024 | R$ 2.102,12 || - | 2.024 | R$ 2.073,59 || - | 2.024 | R$ 2.775,75 || - | 2.024 | R$ 2.443,10 || - | 2.024 | R$ 2.298,33 || - | 2.023 | R$ 4.497,47 || - | 2.023 | R$ 1.960,00 || - | 2.023 | R$ 1.850,00 || - | 2.023 | R$ 1.890,00 || - | 2.023 | R$ 1.512,00 || - | 2.023 | R$ 3.402,76 || - | 2.023 | R$ 3.914,97 || - | 2.023 | R$ 4.953,08 || - | 2.023 | R$ 4.801,63 || - | 2.023 | R$ 4.783,01 || - | 2.023 | R$ 2.935,70 || - | 2.023 | R$ 1.875,60 || - | 2.022 | R$ 1.899,40 || - | 2.022 | R$ 1.870,00 || - | 2.022 | R$ 2.430,00 || - | 2.022 | R$ 3.030,00 || - | 2.022 | R$ 3.129,60 || - | 2.022 | R$ 2.914,60 || - | 2.022 | R$ 2.721,60 || - | 2.022 | R$ 2.107,40 || - | 2.022 | R$ 902,00 || - | 2.022 | R$ 541,15 || - | 2.022 | R$ 1.301,33 || - | 2.022 | R$ 1.775,45 || - | 2.021 | R$ 10,27 || - | 2.021 | R$ 1.421,76 || - | 2.021 | R$ 37,91 || - | 2.021 | R$ 36,17 || - | 2.020 | R$ 6,50 |",client_fiis_dividends_evolution,client_fiis_dividends_evolution,True,True,True,client_fiis_dividends_evolution,Suíte de testes para client_fiis_dividends_evolution — evolução mensal de dividendos da carteira do cliente,,4,[],True,PASS,
Renda mensal dos meus FIIs,200,,True,,"{'reason': 'ok', 'message': 'ok'}",True,ok,ok,client_fiis_dividends_evolution,client_fiis_dividends_evolution,True,2.2,True,base,,0.8,0.1,1.1000000000000005,2.2,1.1000000000000005,1.1000000000000005,client_fiis_dividends_evolution,client_fiis_enriched_portfolio,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,52,dividends_evolution,False,False,,response,,,True,False,225,225.0,362.626,False,,,"**Evolução de dividendos da carteira do cliente**

- Último valor (-/2.025):
  **R$ 585,80**

| Mês | Ano | Dividendos (R$) |
| --- | --- | ---: || - | 2.025 | R$ 585,80 || - | 2.025 | R$ 765,00 || - | 2.025 | R$ 1.064,60 || - | 2.025 | R$ 1.239,60 || - | 2.025 | R$ 1.458,87 || - | 2.025 | R$ 414,00 || - | 2.025 | R$ 279,80 || - | 2.025 | R$ 275,80 || - | 2.025 | R$ 286,60 || - | 2.025 | R$ 288,20 || - | 2.025 | R$ 407,40 || - | 2.024 | R$ 1.979,09 || - | 2.024 | R$ 1.006,00 || - | 2.024 | R$ 1.203,00 || - | 2.024 | R$ 1.564,00 || - | 2.024 | R$ 2.014,74 || - | 2.024 | R$ 1.567,50 || - | 2.024 | R$ 1.864,50 || - | 2.024 | R$ 2.102,12 || - | 2.024 | R$ 2.073,59 || - | 2.024 | R$ 2.775,75 || - | 2.024 | R$ 2.443,10 || - | 2.024 | R$ 2.298,33 || - | 2.023 | R$ 4.497,47 || - | 2.023 | R$ 1.960,00 || - | 2.023 | R$ 1.850,00 || - | 2.023 | R$ 1.890,00 || - | 2.023 | R$ 1.512,00 || - | 2.023 | R$ 3.402,76 || - | 2.023 | R$ 3.914,97 || - | 2.023 | R$ 4.953,08 || - | 2.023 | R$ 4.801,63 || - | 2.023 | R$ 4.783,01 || - | 2.023 | R$ 2.935,70 || - | 2.023 | R$ 1.875,60 || - | 2.022 | R$ 1.899,40 || - | 2.022 | R$ 1.870,00 || - | 2.022 | R$ 2.430,00 || - | 2.022 | R$ 3.030,00 || - | 2.022 | R$ 3.129,60 || - | 2.022 | R$ 2.914,60 || - | 2.022 | R$ 2.721,60 || - | 2.022 | R$ 2.107,40 || - | 2.022 | R$ 902,00 || - | 2.022 | R$ 541,15 || - | 2.022 | R$ 1.301,33 || - | 2.022 | R$ 1.775,45 || - | 2.021 | R$ 10,27 || - | 2.021 | R$ 1.421,76 || - | 2.021 | R$ 37,91 || - | 2.021 | R$ 36,17 || - | 2.020 | R$ 6,50 |",client_fiis_dividends_evolution,client_fiis_dividends_evolution,True,True,True,client_fiis_dividends_evolution,Suíte de testes para client_fiis_dividends_evolution — evolução mensal de dividendos da carteira do cliente,,5,[],True,PASS,
Me mostra a visão consolidada da minha carteira de FIIs.,200,,True,,"{'reason': 'ok', 'message': 'ok'}",True,ok,ok,client_fiis_enriched_portfolio,client_fiis_enriched_portfolio,True,9.35,True,base,,0.9,0.2,6.6,9.35,6.6,6.6,client_fiis_enriched_portfolio,client_fiis_positions,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,2,document_number,False,False,,response,,,True,False,384,384.0,529.803,False,,,"**Posições da carteira de FIIs**

  - Data da posição: **19/11/2025**
  - Valor total da carteira: **R$ 21.598,00**

  | Ticker | Quantidade | Preço de fechamento | Valor da posição | Peso na carteira | DY 12m | Setor | Classificação |
  | --- | ---: | ---: | ---: | ---: | ---: | --- | --- |  | PVBI11 | 200 | R$ 78,31 | R$ 15.662,00 | 0,73% | 7,04% | Lajes Corporativas | Tijolo |  | CPTS11 | 800 | R$ 7,42 | R$ 5.936,00 | 0,27% | 12,80% | Títulos e Valores Mobiliários | Papel |",client_fiis_enriched_portfolio,client_fiis_enriched_portfolio,True,True,True,client_fiis_enriched_portfolio,"Suíte de testes para client_fiis_enriched_portfolio — visão consolidada da carteira privada de FIIs do cliente, com pesos, DY, risco e rankings por ativo.",,6,[],True,PASS,
Quais FIIs da minha carteira aparecem no IFIX e qual a posição de cada um no índice?,200,,True,,"{'reason': 'ok', 'message': 'ok'}",True,ok,ok,client_fiis_enriched_portfolio,client_fiis_enriched_portfolio,True,2.75,True,base,,0.9,0.2,5.499999999999999,2.75,5.499999999999999,5.499999999999999,client_fiis_enriched_portfolio,client_fiis_performance_vs_benchmark_summary,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,2,document_number,False,False,,response,,,True,False,172,172.0,250.381,False,,,"**Posições da carteira de FIIs**

  - Data da posição: **19/11/2025**
  - Valor total da carteira: **R$ 21.598,00**

  | Ticker | Quantidade | Preço de fechamento | Valor da posição | Peso na carteira | DY 12m | Setor | Classificação |
  | --- | ---: | ---: | ---: | ---: | ---: | --- | --- |  | PVBI11 | 200 | R$ 78,31 | R$ 15.662,00 | 0,73% | 7,04% | Lajes Corporativas | Tijolo |  | CPTS11 | 800 | R$ 7,42 | R$ 5.936,00 | 0,27% | 12,80% | Títulos e Valores Mobiliários | Papel |",client_fiis_enriched_portfolio,client_fiis_enriched_portfolio,True,True,True,client_fiis_enriched_portfolio,"Suíte de testes para client_fiis_enriched_portfolio — visão consolidada da carteira privada de FIIs do cliente, com pesos, DY, risco e rankings por ativo.",,7,[],True,PASS,
Quais setores mais pesam na minha carteira de FIIs?,200,,True,,"{'reason': 'ok', 'message': 'ok'}",True,ok,ok,client_fiis_enriched_portfolio,client_fiis_enriched_portfolio,True,6.6000000000000005,True,base,,0.9,0.2,5.5,6.6000000000000005,5.5,5.5,client_fiis_enriched_portfolio,client_fiis_positions,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,2,document_number,False,False,,response,,,True,False,226,226.0,348.14,False,,,"**Posições da carteira de FIIs**

  - Data da posição: **19/11/2025**
  - Valor total da carteira: **R$ 21.598,00**

  | Ticker | Quantidade | Preço de fechamento | Valor da posição | Peso na carteira | DY 12m | Setor | Classificação |
  | --- | ---: | ---: | ---: | ---: | ---: | --- | --- |  | PVBI11 | 200 | R$ 78,31 | R$ 15.662,00 | 0,73% | 7,04% | Lajes Corporativas | Tijolo |  | CPTS11 | 800 | R$ 7,42 | R$ 5.936,00 | 0,27% | 12,80% | Títulos e Valores Mobiliários | Papel |",client_fiis_enriched_portfolio,client_fiis_enriched_portfolio,True,True,True,client_fiis_enriched_portfolio,"Suíte de testes para client_fiis_enriched_portfolio — visão consolidada da carteira privada de FIIs do cliente, com pesos, DY, risco e rankings por ativo.",,8,[],True,PASS,
Quais são os FIIs da minha carteira e o valor investido em cada um?,200,,True,,"{'reason': 'ok', 'message': 'ok'}",True,ok,ok,client_fiis_enriched_portfolio,client_fiis_enriched_portfolio,True,3.8499999999999996,True,base,,0.9,0.2,3.3,3.8499999999999996,3.3,3.3,client_fiis_enriched_portfolio,client_fiis_dividends_evolution,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,2,document_number,False,False,,response,,,True,False,248,248.0,343.98,False,,,"**Posições da carteira de FIIs**

  - Data da posição: **19/11/2025**
  - Valor total da carteira: **R$ 21.598,00**

  | Ticker | Quantidade | Preço de fechamento | Valor da posição | Peso na carteira | DY 12m | Setor | Classificação |
  | --- | ---: | ---: | ---: | ---: | ---: | --- | --- |  | PVBI11 | 200 | R$ 78,31 | R$ 15.662,00 | 0,73% | 7,04% | Lajes Corporativas | Tijolo |  | CPTS11 | 800 | R$ 7,42 | R$ 5.936,00 | 0,27% | 12,80% | Títulos e Valores Mobiliários | Papel |",client_fiis_enriched_portfolio,client_fiis_enriched_portfolio,True,True,True,client_fiis_enriched_portfolio,"Suíte de testes para client_fiis_enriched_portfolio — visão consolidada da carteira privada de FIIs do cliente, com pesos, DY, risco e rankings por ativo.",,9,[],True,PASS,
Qual FII da minha carteira tem o melhor índice de Sharpe?,200,,True,,"{'reason': 'ok', 'message': 'ok'}",True,ok,ok,client_fiis_enriched_portfolio,client_fiis_enriched_portfolio,True,3.8499999999999996,True,base,,0.9,0.2,3.3,3.8499999999999996,3.3,3.3,client_fiis_enriched_portfolio,client_fiis_performance_vs_benchmark,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,2,document_number,False,False,,response,,,True,False,188,188.0,268.643,False,,,"**Posições da carteira de FIIs**

  - Data da posição: **19/11/2025**
  - Valor total da carteira: **R$ 21.598,00**

  | Ticker | Quantidade | Preço de fechamento | Valor da posição | Peso na carteira | DY 12m | Setor | Classificação |
  | --- | ---: | ---: | ---: | ---: | ---: | --- | --- |  | PVBI11 | 200 | R$ 78,31 | R$ 15.662,00 | 0,73% | 7,04% | Lajes Corporativas | Tijolo |  | CPTS11 | 800 | R$ 7,42 | R$ 5.936,00 | 0,27% | 12,80% | Títulos e Valores Mobiliários | Papel |",client_fiis_enriched_portfolio,client_fiis_enriched_portfolio,True,True,True,client_fiis_enriched_portfolio,"Suíte de testes para client_fiis_enriched_portfolio — visão consolidada da carteira privada de FIIs do cliente, com pesos, DY, risco e rankings por ativo.",,10,[],True,PASS,
